,140S,138S,136S,132S,127S,125S,122S,119S,115S,112S,109S,104S,101S,139S,113S,137S,133S,120S,116S,110S,126S,123S,106S,128S,111S,134S,114S,103S,124S,117S,107S,135S,129S,121S,130S,118S,108S,131S
078950_1..S02R::1404619200.0,29,-37,-12,-6,21,0,17,16,-11,-7,-4,6,11,316,14,-58,2,26,13,-6,-5,36,15,7,-7,-18,22,5,-9,-91,7,-7,15,10,-5,6,-8,4
079750_1..S02R::1404619200.0,66,-33,7,5,8,4,24,19,23,2,9,-3,-19,53,-5,-96,4,14,7,10,-12,8,8,27,9,11,-5,-9,-1,12,-3,-12,10,-7,13,22,12,21
080550_1..S02R::1404619200.0,40,-25,-6,51,30,21,4,19,10,-4,12,-13,-19,63,16,-85,-8,23,-7,8,10,22,-10,27,-2,-4,13,14,21,0,0,4,-1,1,0,13,12,-20
081350_1..S02R::1404619200.0,48,-31,4,11,6,-20,10,23,13,-2,6,8,11,93,16,-73,-20,29,77,1,22,24,11,-13,-1,15,15,15,15,22,1,10,-3,12,-15,26,8,5
082150_1..S02R::1404619200.0,61,-18,5,8,25,-8,-9,-1,4,-5,-4,0,11,16,-8,52,-14,21,-3,-1,-32,12,6,6,-2,1,-6,-1,-13,6,4,9,24,11,8,-6,-9,17
082950_1..S02R::1404619200.0,58,-25,-3,10,25,25,32,10,7,12,13,2,-19,59,2,-42,15,-10,-6,9,10,34,10,0,9,-8,7,-2,21,1,-3,7,19,-1,23,3,8,-3
083750_1..S02R::1404619200.0,68,-67,-13,1,14,8,31,-2,2,-22,15,-5,-19,435,0,-82,9,14,-4,11,-10,12,4,12,12,-16,-2,-10,0,3,1,-5,0,-7,7,-9,12,18
084550_1..S02R::1404619200.0,47,-13,-13,-13,46,14,10,7,9,1,-6,0,11,12,-4,62,-2,10,-2,-36,2,5,-18,-4,-36,10,5,-5,7,9,-24,-15,11,-1,22,0,-12,-3
085350_1..S02R::1404619200.0,62,-26,0,11,33,22,18,12,14,9,-10,22,11,81,19,-79,10,39,2,-12,22,7,-8,13,16,13,16,-38,29,7,14,12,10,16,39,19,-3,-27
086150_1..S02R::1404619200.0,47,-13,7,25,40,-4,-11,12,22,-2,1,1,11,50,-12,-68,-4,26,11,1,12,12,6,17,-2,7,-10,-4,-13,-12,-5,14,-6,12,-1,5,2,12
086950_1..S02R::1404619200.0,60,-5,6,-9,3,3,8,20,-9,3,-1,9,-19,55,-6,-66,-3,37,-13,1,12,5,-7,22,-1,6,23,8,0,-1,-17,-16,-1,8,6,-14,3,13
087750_1..S02R::1404619200.0,57,-12,-11,3,36,-6,-5,-3,13,-8,-8,-1,-19,44,18,-86,10,-4,1,-7,17,17,7,20,20,-9,12,-7,18,9,0,-1,6,-11,8,-36,-15,16
088550_1..S02R::1404619200.0,37,-15,10,15,10,19,24,7,13,13,3,-2,-19,79,1,-70,15,25,-1,1,-2,33,0,22,23,16,22,7,17,4,-8,-11,-10,-1,-4,16,-3,4
089350_1..S02R::1404619200.0,45,-10,-3,-1,4,24,-14,4,52,7,-4,6,-19,-7,0,49,9,16,-2,6,12,20,6,1,10,-10,14,-2,22,10,0,2,11,6,-6,-3,-10,7
090150_1..S02R::1404619200.0,60,-35,14,-4,-2,22,14,17,11,10,4,-13,-19,36,0,-60,7,32,4,4,6,22,-6,-6,25,-15,11,17,16,12,19,-5,4,10,7,16,2,-19
090950_1..S02R::1404619200.0,45,-25,-9,21,22,17,11,22,-8,20,15,7,-19,88,3,-34,-7,26,14,15,1,24,13,33,10,-3,-8,4,19,11,-13,-6,25,-26,9,-4,-12,13
091750_1..S02R::1404619200.0,41,-10,1,9,28,13,-4,1,4,4,10,-9,-19,51,-3,48,-16,35,-1,7,3,-14,1,21,7,-3,2,-10,12,2,-6,1,3,-13,11,-10,11,-9
092550_1..S02R::1404619200.0,64,-34,15,-3,10,6,10,-6,3,19,1,-18,-19,24,5,-64,5,29,-10,0,-3,5,-7,3,-3,-17,-33,9,3,-6,-19,-7,-8,7,0,38,0,11
093350_1..S02R::1404619200.0,52,-73,-8,11,22,1,12,20,16,9,-24,-18,11,6,-27,70,-12,3,13,6,-8,33,-10,-6,6,-5,11,10,-6,-5,-15,7,13,-2,13,13,0,-6
094150_1..S02R::1404619200.0,59,-10,8,24,23,9,9,1,15,-3,-7,14,11,75,19,-96,-37,14,13,-2,0,0,-8,13,-1,8,16,14,3,18,10,-66,-6,4,0,29,1,11
094950_1..S02R::1404619200.0,54,-23,4,-4,31,32,24,16,-1,12,1,6,11,71,15,-74,3,20,18,-2,11,7,13,29,18,9,9,5,5,14,3,9,5,-4,-23,25,8,14
095750_1..S02R::1404619200.0,40,-20,6,13,53,0,-16,-27,-6,-6,5,9,-19,43,-11,52,-6,54,-11,-4,-29,11,-8,-7,-10,5,-6,0,-35,4,-15,14,9,2,16,-8,0,-3
096550_1..S02R::1404619200.0,58,-16,-14,19,19,12,-13,0,4,18,12,-1,-19,48,4,-87,-3,-9,-3,-12,-3,10,10,10,16,9,3,2,8,9,-5,-8,-10,9,-4,-5,10,2
097350_1..S02R::1404619200.0,40,-21,13,12,14,7,-1,4,20,-4,-52,-1,11,61,15,-94,18,5,12,-3,-7,-5,10,5,-4,-6,16,-7,0,-11,7,-8,19,-5,23,-2,-8,1
098150_1..S02R::1404619200.0,,,,,,,1,0,20,12,2,7,161,,-3,,,20,3,-3,,371,9,,21,,-10,6,,3,-9,,,-1,,11,1,
098950_1..S02R::1404619200.0,50,-27,4,5,28,18,-11,5,-5,-1,-2,-18,-19,-19,-5,-76,3,24,-5,3,10,18,22,16,0,8,-1,9,16,36,-20,16,-1,11,31,-2,-6,28
099750_1..S02R::1404619200.0,45,-16,-2,23,36,26,66,16,-7,2,-12,-9,11,70,20,-54,-6,22,-9,-10,31,6,0,-20,17,-1,-12,-11,-26,0,12,6,12,2,-15,12,-13,-19
100550_1..S02R::1404619200.0,58,-14,-2,-8,-17,4,10,2,-2,8,13,-7,11,48,0,76,5,7,-5,-15,0,8,3,5,16,-12,-1,-14,-4,9,-3,-5,-5,3,-2,-37,8,8
101350_1..S02R::1404619200.0,64,-27,5,6,34,23,26,5,30,4,4,-15,41,127,-6,-80,7,14,12,5,23,6,-4,28,4,-3,-4,6,-6,-12,-16,-5,27,-9,34,4,1,22
102150_1..S02R::1404619200.0,15,2,-26,17,29,36,-13,-13,9,21,0,8,11,28,8,-100,-10,25,-1,1,10,39,13,15,-4,-2,7,5,8,3,0,0,-7,13,-4,14,5,2
102950_1..S02R::1404619200.0,60,-7,-38,-18,22,19,8,7,2,-3,-1,17,11,74,-8,-74,14,12,-1,-28,9,30,-5,15,0,-4,0,-12,13,12,-12,0,-11,2,-4,1,-1,-24
103750_1..S02R::1404619200.0,68,-8,4,18,-20,-10,4,4,-4,-7,-1,-23,-19,54,14,112,-14,49,-6,2,-14,6,-12,2,-5,-2,-9,1,11,6,-14,10,19,-6,-7,-7,-28,-26
104550_1..S02R::1404619200.0,47,-12,-7,1,59,31,2,-36,20,23,27,9,11,78,5,-58,-1,32,-1,16,32,14,7,36,2,26,-1,15,6,28,-4,17,8,5,30,2,2,27
098150_1..S::1404619200.0,40,-35,-3,20,18,35,,,,,,,,48,,-51,-64,,,,,401,,41,,0,,,,,,9,,,,,,
105350_1..S02R::1404619200.0,37,-10,0,-4,76,6,-3,-6,50,10,4,6,-19,41,8,-88,6,-13,6,5,-28,-8,-15,15,8,-6,16,-4,-2,-13,8,7,-8,-17,-1,8,-3,7
106150_1..S02R::1404619200.0,48,-22,-12,1,33,3,24,-6,5,8,16,10,-19,70,-3,-84,9,5,-7,17,15,7,11,18,13,-14,3,10,2,3,0,-5,0,-10,8,19,-16,13
106950_1..S02R::1404619200.0,39,-26,-4,-11,57,3,-9,-3,15,3,-1,-23,11,-1,-1,45,1,19,10,3,-4,23,-11,-6,-37,-17,10,2,-6,-6,-15,-1,11,13,21,-16,1,-2
107750_1..S02R::1404619200.0,58,-10,-12,28,9,30,-2,17,13,20,24,29,11,54,9,-25,9,6,8,-59,17,25,-6,28,18,-12,10,-2,-5,-10,15,-2,-1,-5,3,8,-6,11
108550_1..S02R::1404619200.0,42,-14,-5,24,44,6,9,7,10,7,11,-27,-19,38,-5,-79,-10,16,6,10,-6,10,4,22,8,-2,9,3,11,13,-4,4,3,3,8,-1,11,12
109350_1..S02R::1404619200.0,51,-15,10,2,3,26,19,-11,10,18,6,3,-19,47,8,-66,7,28,-2,9,10,40,10,-3,24,13,8,-1,-7,7,1,-10,21,10,22,15,8,22
110150_1..S02R::1404619200.0,50,-64,-6,-2,22,9,6,-15,0,-2,-14,-12,11,14,-8,104,9,51,-1,-11,0,5,0,15,-10,-8,-7,8,3,11,-6,-9,-7,-4,-2,1,12,11
110950_1..S02R::1404619200.0,37,-70,-17,22,15,-4,3,15,10,-16,-1,-6,-19,37,15,98,-9,0,11,6,-15,8,6,13,9,1,3,-13,14,-8,9,-15,-10,-6,6,13,-3,2
111750_1..S02R::1404619200.0,41,-16,-7,5,22,2,0,20,1,50,-18,-17,-19,75,0,-81,11,-2,20,-12,-7,-6,-3,26,17,-12,-35,8,-3,-11,-4,-2,9,-8,17,7,10,19
112550_1..S02R::1404619200.0,57,-13,7,-19,27,6,9,-5,-12,13,11,-6,-19,32,5,51,-14,8,16,14,-3,-4,5,14,12,1,14,-5,-3,-3,-36,11,0,1,10,-11,12,-8
113350_1..S02R::1404619200.0,38,-15,-12,1,59,8,18,16,7,-8,-8,1,-49,-9,17,40,12,62,7,-6,3,15,7,8,-9,-11,-4,-57,-5,18,8,-4,-4,6,-28,5,-8,10
114150_1..S02R::1404619200.0,41,0,7,-46,20,8,3,-7,9,-3,-3,20,-19,20,17,-65,6,6,0,-1,-5,-51,-8,27,-3,11,19,-11,-1,7,-12,-18,-1,-5,6,20,2,-17
114950_1..S02R::1404619200.0,56,-37,13,8,27,7,-5,-1,28,8,15,1,-19,47,-4,-66,11,0,16,16,-35,14,7,17,14,-12,-2,0,-28,-6,3,-10,-7,-10,24,-24,16,-2
115750_1..S02R::1404619200.0,39,-34,-2,17,32,26,15,12,12,8,14,-5,11,32,27,-50,1,-7,-8,-13,12,1,2,37,13,5,13,-9,-3,0,-14,9,1,7,6,6,32,7
116550_1..S02R::1404619200.0,57,-27,11,-4,57,11,13,2,2,-2,8,16,11,24,-11,-65,2,14,-34,-4,2,-2,-59,23,-9,-15,-38,9,2,8,9,-12,-3,5,5,-4,-15,8
117350_1..S02R::1404619200.0,66,,0,-10,2,-1,-7,5,12,8,64,-59,-79,14,1,71,-3,20,0,10,-8,19,-6,-6,-21,7,6,11,-12,9,-15,10,9,16,-11,-2,4,2
118150_1..S02R::1404619200.0,54,-32,-18,0,1,26,2,-10,3,3,3,7,-19,0,-14,54,-26,43,16,9,8,20,-64,3,3,10,0,3,13,-9,-84,-14,-76,0,-3,11,2,7
118950_1..S02R::1404619200.0,60,-26,10,10,-60,19,-10,17,17,-10,17,1,-19,51,12,56,-64,23,10,-17,11,15,9,22,16,5,17,3,16,-11,-1,-14,4,16,10,6,-15,-6
119750_1..S02R::1404619200.0,50,-8,5,-1,17,25,,-1,1,8,13,5,-19,15,0,-72,5,39,-2,14,-7,40,15,-26,11,11,0,-1,-6,4,6,14,-14,15,10,-8,13,16
120550_1..S02R::1404619200.0,44,-14,6,3,72,-3,-41,8,63,8,-15,-6,-19,14,10,70,-13,61,8,-6,3,13,8,9,0,1,-60,-13,-69,-122,-1,18,-16,-5,-4,-10,7,9
121350_1..S02R::1404619200.0,55,-9,-9,31,113,-10,-13,-13,-4,-57,-62,9,-19,-10,-10,-78,-4,64,-38,-11,-11,-8,-11,15,-13,-20,2,2,5,13,-14,-6,-1,6,3,4,8,12
122150_1..S02R::1404619200.0,35,-12,-13,6,7,19,0,9,13,22,-8,-4,-19,23,-22,-29,-17,0,8,-6,12,-1,-4,4,20,-11,11,-2,8,10,15,-3,9,-7,13,1,-10,23
122950_1..S02R::1404619200.0,41,-11,10,19,19,-3,15,16,4,-1,-53,9,-19,50,-8,52,-37,56,-3,-53,-9,7,10,6,-6,7,-3,2,14,10,3,-14,-14,2,23,4,-12,1
123750_1..S02R::1404619200.0,49,-33,13,10,42,-8,-9,-3,4,1,8,4,-19,54,20,-59,13,9,-4,4,-14,19,10,-52,2,-64,1,-26,15,2,6,-2,17,23,19,-8,14,-3
124550_1..S02R::1404619200.0,37,-13,-10,-3,85,12,-12,-4,50,7,-7,0,11,10,4,66,7,14,4,2,1,-11,13,9,4,9,14,-9,-1,-99,1,-8,-14,3,-2,13,-12,10
125350_1..S02R::1404619200.0,54,-6,-15,-12,85,-7,9,-31,12,-23,-9,6,11,-34,4,67,1,10,13,-3,-9,-3,17,12,0,6,2,1,7,-7,10,-11,9,-3,-4,13,-6,2
126150_1..S02R::1404619200.0,39,-21,12,16,-2,19,-10,-1,19,11,-6,8,11,9,-47,-72,15,35,13,-10,7,12,10,19,13,-10,20,6,12,-11,-3,-7,-5,14,0,3,1,5
127150_1..S02R::1404619200.0,48,-67,-18,21,70,5,-13,-4,16,4,4,10,11,-47,0,35,-71,15,11,7,4,16,-7,14,-5,2,6,9,-6,-3,-46,-16,3,6,-13,-8,2,2
128150_1..S02R::1404619200.0,50,-31,-11,2,21,-1,-12,4,19,-4,6,1,11,4,15,-87,12,28,2,1,-8,16,11,18,-1,-9,16,-4,-38,9,-4,-1,1,18,8,-5,7,18
129150_1..S02R::1404619200.0,57,-25,0,30,124,22,-4,-34,11,0,19,-7,41,22,12,-73,-5,6,4,11,12,48,-3,162,1,1,11,-2,15,7,15,1,13,-10,8,-8,-7,15
130150_1..S02R::1404619200.0,47,-17,-14,22,19,-4,1,-20,1,-2,4,-3,11,81,-11,-81,4,-1,3,-1,-8,26,0,-4,-2,16,-3,-5,24,-18,-7,-15,-18,-7,-7,-37,4,5
131150_1..S02R::1404619200.0,52,-72,-3,6,36,6,18,-8,18,-56,11,16,11,27,40,7,-23,26,-5,-35,19,-1,-12,15,-5,4,15,15,-3,-1,-14,-17,26,13,-12,17,18,-10
132350_1..S02R::1404619200.0,57,-33,-3,18,22,-13,6,16,15,6,15,18,41,3,28,-77,-6,27,19,12,1,19,-7,16,9,2,10,-15,15,-10,6,7,-4,11,0,11,20,2
133550_1..S02R::1404619200.0,43,-6,-14,-5,65,-9,-3,11,48,15,0,2,-19,-5,7,-33,4,16,3,5,-37,0,-16,-4,11,11,13,-8,10,15,7,-10,-13,-15,-2,3,-6,8
134750_1..S02R::1404619200.0,58,-27,14,-4,19,13,14,4,1,-3,-54,14,41,-1,-47,-93,2,16,-47,-7,4,7,-11,13,-7,13,-2,13,5,5,-14,-8,-9,10,0,-6,-4,10
135950_1..S02R::1404619200.0,50,-4,-7,-4,59,-2,13,-17,-6,-10,10,9,-19,242,14,-78,2,65,-8,-13,-3,13,-61,4,15,-16,-5,2,-14,1,-51,-4,16,8,-7,-4,5,5
137150_1..S02R::1404619200.0,39,-13,-13,0,72,12,13,9,10,5,-13,-9,41,257,-7,72,-18,-1,-18,-5,-22,38,4,2,-3,1,0,-8,-5,1,-5,-14,19,-1,-8,-3,-18,9
138550_1..S02R::1404619200.0,,-21,13,7,12,-4,-13,14,20,0,13,-10,11,-23,21,-61,7,-27,-16,6,17,16,-3,4,-1,15,20,-10,-11,-10,12,-9,11,26,18,8,14,25
140050_1..S02R::1404619200.0,,,,,10,16,12,19,-11,-1,7,3,11,,16,,,20,-15,-1,25,6,7,-88,-37,,21,2,7,-97,-36,,,7,,10,11,
000650_1..S02R::1404705600.0,10,-68,8,16,26,1,8,167,0,23,81,-6,-409,-2,8,-35,-7,6,1,9,1,5,9,-20,5,9,-11,-16,-12,-102,-4,-16,-12,-7,-2,10,-16,2
002550_1..S02R::1404705600.0,60,-36,7,11,19,-4,6,-14,26,4,55,6,-1549,14,-7,-64,-15,2,10,-52,10,32,13,-2,18,-1,-4,6,27,-12,1,-19,10,-6,-13,8,-26,-7
138550_1..S02R::1404705600.0,55,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,
140050_1..S02R::1404705600.0,59,-7,13,11,,,,,,,,,,19,,96,15,,,,,,,-4,,23,,,,,,22,14,,21,,,-4
141550_1..S02R::1404705600.0,58,-15,-6,17,59,9,-10,,,,,,,154,,-76,-2,51,,,5,-9,,0,,-16,,,0,,,-3,-15,5,28,,,-1
143250_1..S02R::1404705600.0,28,-22,1,4,9,20,-10,17,-6,13,8,-13,221,2,1,-99,-16,33,16,11,9,10,-34,-17,9,-5,-9,5,6,-10,,-1,1,8,10,8,11,16
004550_1..S02R::1404705600.0,53,-16,-1,-1,23,0,26,-18,10,6,40,2,-109,41,-5,-76,8,1,-23,7,-5,60,14,34,5,-8,7,1,-10,-12,6,2,-4,28,1,9,11,13
006550_1..S02R::1404705600.0,52,-28,-51,-13,105,13,-14,27,12,4,-4,2,-19,-9,2,36,-1,-5,10,-3,-18,15,-13,9,-2,7,10,-4,-3,-5,4,-20,-7,-2,12,-12,-37,-2
008550_1..S02R::1404705600.0,56,-8,-17,-26,12,7,-12,-13,-16,47,0,3,-19,14,-3,96,-18,102,-13,5,-21,18,12,12,8,1,8,-5,-4,3,5,-15,-7,2,-4,-1,-7,10
010550_1..S02R::1404705600.0,68,-10,-18,-2,163,2,5,-1,50,-6,75,9,-49,22,-3,64,-19,-15,4,11,4,-8,-6,4,-15,2,11,-1,-21,-96,-9,-16,-12,-33,-2,-14,10,10
012550_1..S02R::1404705600.0,41,-31,-15,0,65,9,8,-2,-9,10,-5,-21,-19,-3,10,-92,6,7,-12,-2,5,-6,-7,8,-28,-12,-12,-23,-3,-2,-19,-7,-7,-4,6,-11,-37,14
014550_1..S02R::1404705600.0,55,-66,-4,-2,65,7,-14,-2,25,-3,-4,8,-19,-5,-5,16,7,47,11,1,6,-13,-9,9,-3,-9,1,-1,-3,-7,14,3,-52,3,-7,-15,-5,10
016550_1..S02R::1404705600.0,49,-27,1,-4,126,4,-1,6,13,-1,2,-11,11,-21,-3,-68,6,82,-14,-18,6,-34,4,5,-12,-8,7,10,-71,3,6,5,3,-14,-14,-5,-6,1
018550_1..S02R::1404705600.0,36,-9,-1,-8,63,6,-16,15,2,-37,-12,3,-19,-3,-9,-71,1,63,-2,-7,0,13,-15,28,-47,-12,-32,-5,-8,9,8,-3,10,-1,-9,-27,-12,2
020550_1..S02R::1404705600.0,54,-10,0,4,65,9,-5,-5,16,18,14,9,-19,-8,10,-73,-15,17,14,-11,7,-12,-13,23,20,0,22,6,-3,-5,10,10,0,13,3,14,18,16
022550_1..S02R::1404705600.0,40,-15,-3,-12,105,-17,-10,-10,7,-3,15,0,-19,15,-6,-53,-35,61,2,-15,-19,-11,-18,-52,-12,-13,-2,-8,-4,-13,5,3,-18,7,-5,10,16,-26
024550_1..S02R::1404705600.0,37,-13,-16,8,73,8,-13,-2,57,5,-18,-17,-19,-21,5,58,-13,50,4,-9,-20,14,-4,5,-4,3,-13,5,-8,-8,-9,-12,-8,2,4,-14,-25,17
026550_1..S02R::1404705600.0,38,-10,33,-7,54,2,-15,0,55,-2,15,3,11,-2,-3,-50,3,58,6,-10,-5,12,-4,10,-8,-12,-13,-4,-13,-8,-43,-8,22,-1,-7,-16,12,6
028250_1..S02R::1404705600.0,40,-9,-4,8,-7,-10,1,-1,17,0,15,-7,-19,-39,-4,81,-10,15,7,-10,-35,-46,1,-10,-6,-20,13,-14,3,-7,-4,-87,-18,-15,-4,-14,9,12
029750_1..S02R::1404705600.0,32,-11,1,3,84,2,13,10,5,0,-4,17,11,-5,-6,52,-15,6,-5,-1,-3,10,-10,8,-2,-5,-34,-10,-11,7,9,0,-8,1,0,-37,-7,12
030900_1..S02R::1404705600.0,47,-33,7,7,76,2,10,-13,66,-14,-2,0,-19,11,-13,83,-11,1,1,-25,-13,18,11,11,8,3,-2,-8,-12,-13,-24,14,4,-4,14,8,-11,20
031700_1..S02R::1404705600.0,63,-19,-1,-10,4,3,1,-17,-10,11,1,-12,-19,-19,7,78,1,68,-10,6,0,40,1,20,-25,-67,-17,-7,-11,3,-16,1,5,-13,17,-4,2,0
032500_1..S02R::1404705600.0,66,-33,6,11,-4,2,6,-4,-9,-18,-48,-19,11,-6,11,50,-10,6,-12,3,-1,19,-60,22,7,4,14,13,-12,1,9,13,7,-7,17,-10,-9,
033300_1..S02R::1404705600.0,61,-10,6,13,26,2,-9,12,-15,-4,10,-4,-19,9,-4,59,-62,92,-14,-14,-2,21,6,14,-12,8,5,-54,-11,2,-4,-13,-33,8,8,-5,7,-6
034100_1..S02R::1404705600.0,61,4,-4,0,13,-4,-22,21,19,14,0,-8,11,20,9,-84,8,-2,5,7,-7,6,1,25,7,-9,11,-11,15,-14,10,2,6,-4,15,8,-6,20
034900_1..S02R::1404705600.0,57,-67,-15,7,89,-3,1,11,53,5,-11,8,11,-15,-26,36,-8,20,-7,-2,-3,2,-8,7,1,7,-14,-3,-19,1,-12,-12,-4,-16,7,-4,-20,20
035700_1..S02R::1404705600.0,49,-17,-2,3,3,10,-6,-5,15,-22,-51,8,11,6,3,48,-18,12,7,-35,7,29,18,2,1,-4,12,0,2,-10,4,-34,-7,61,1,9,-8,11
036500_1..S02R::1404705600.0,68,-18,-10,9,70,20,-7,14,4,2,10,1,11,12,-2,69,-7,21,-2,15,13,-4,10,9,-1,-74,-1,-2,5,10,-58,-6,-3,14,4,2,3,17
037300_1..S02R::1404705600.0,43,-23,-2,-7,17,-5,17,20,6,-10,13,-18,-19,15,-13,66,8,59,2,-9,-35,3,-3,5,24,-8,-1,3,14,-14,-7,5,-12,-25,-4,10,7,5
038100_1..S02R::1404705600.0,51,-38,6,-3,51,6,14,13,5,12,17,-10,41,24,2,-67,0,20,23,18,1,-2,-3,16,13,10,2,-9,-3,-3,9,7,3,-22,3,10,-12,13
038900_1..S02R::1404705600.0,43,-12,-14,20,34,0,-2,-11,-13,2,-10,-7,-19,51,17,-64,-11,64,-22,-12,15,-4,-3,12,11,-5,21,-4,-6,4,-10,-3,23,-5,7,15,-4,9
039500_1..S02R::1404705600.0,60,-9,9,7,51,14,-6,9,18,-37,13,12,11,39,13,-79,-17,52,-14,-63,2,-10,-8,5,-10,-8,-17,4,-1,3,-11,-10,0,9,8,-4,8,
040250_1..S07R::1404705600.0,45,-71,17,289,9,20,-8,1,2,12,-8,14,,42,0,-63,-14,18,-6,-7,12,1,-8,-7,18,-4,3,11,9,2,12,0,-1,14,3,-10,-35,11
040600_1..S02R::1404705600.0,58,-14,9,6,24,12,10,16,3,-7,3,1,71,46,11,-72,8,21,-7,2,5,9,7,29,-4,15,11,2,6,-2,0,-11,14,4,21,12,10,26
041250_1..S07R::1404705600.0,48,-7,-7,-4,7,7,-65,8,3,5,-5,-3,,-10,0,-56,11,46,3,0,-4,74,10,8,0,-14,10,-19,2,-13,0,-3,-8,4,3,8,-12,11
041550_1..S02R::1404705600.0,47,-33,13,-1,92,10,16,22,-3,0,-5,-5,-19,31,-6,-93,1,23,13,0,5,9,5,24,0,-16,-5,-8,1,-7,-10,-9,7,6,8,-15,-6,15
042200_1..S07R::1404705600.0,47,-20,3,-32,30,-2,-5,2,-7,-22,22,10,,34,-2,-74,5,6,12,12,15,-4,14,6,8,13,-4,11,-2,14,10,17,12,-6,-16,-1,-7,22
042550_1..S02R::1404705600.0,45,-64,13,1,104,0,-19,11,0,3,-2,4,-19,25,-4,-66,6,62,-9,-1,-7,10,-15,-51,-38,15,-2,0,-13,6,8,-11,-18,-1,-6,-1,-3,-20
043200_1..S07R::1404705600.0,61,-23,-3,6,-9,-18,13,18,-3,-3,12,-8,,32,-12,107,-19,30,22,11,-2,33,0,15,2,-5,-6,11,4,-6,-13,-4,0,6,8,13,6,18
043450_1..S02R::1404705600.0,57,-15,1,-2,120,17,20,-9,25,49,9,-12,-49,47,-7,16,4,-3,12,7,5,-25,-2,18,6,15,-4,-72,8,-9,-10,-15,2,15,7,9,7,17
043850_1..S02R::1404705600.0,61,-33,10,3,95,12,7,10,-3,-12,0,12,-19,19,14,11,-72,84,-8,9,10,-7,-6,10,10,1,-11,-24,0,7,20,15,-2,5,8,0,-6,18
044300_1..S07R::1404705600.0,36,-24,12,-4,30,10,17,1,8,14,0,21,,64,0,-74,-5,26,13,-2,16,16,22,30,20,-2,19,41,6,20,-4,-2,29,18,-10,-1,5,16
044500_1..S02R::1404705600.0,23,-4,0,40,10,5,22,16,-3,-10,0,1,11,11,5,-39,-10,7,4,-7,-10,13,3,26,-6,2,21,-7,5,-9,-5,8,-25,-9,3,11,0,4
044850_1..S02R::1404705600.0,60,-18,-6,6,7,8,0,8,13,-16,11,3,11,24,2,-68,8,16,-5,7,16,-6,11,28,27,-9,11,16,-2,-6,-4,2,7,-9,6,4,14,15
045350_1..S07R::1404705600.0,19,4,-6,23,25,17,-8,-5,-4,8,-14,15,,36,28,-82,-9,28,34,15,4,10,-10,27,14,2,-4,41,9,0,7,5,-2,14,5,-13,-11,10
045500_1..S02R::1404705600.0,47,-19,-14,9,13,-4,3,2,19,2,-13,0,11,31,-4,78,-16,9,5,-8,14,-7,8,2,-6,-10,-8,-6,-3,16,2,-7,17,-3,17,-5,-15,-1
046000_1..S07R::1404705600.0,48,-13,4,-5,54,11,4,-8,11,12,-12,5,,74,8,-33,-1,87,21,-8,-2,-1,11,8,13,11,11,-19,9,-3,-37,9,9,-2,12,14,-15,16
046200_1..S02R::1404705600.0,,,,,40,44,30,10,-2,1,12,-17,11,,-8,,,35,16,10,24,9,-9,-50,8,,-6,15,24,-11,1,,,4,,4,12,
046700_1..S07R::1404705600.0,50,-34,4,3,-11,31,33,10,-54,-11,-8,-12,,10,16,-76,3,33,-7,-4,19,15,-3,25,20,12,-8,41,-2,3,-16,10,16,13,18,23,-10,20
046800_1..S02R::1404705600.0,49,8,-6,41,20,18,9,13,-26,22,6,8,-19,41,10,-63,-4,11,-79,2,-6,24,12,-13,-7,3,6,-23,15,1,-4,7,-14,77,22,11,8,1
047200_1..S02R::1404705600.0,55,8,1,41,42,18,3,6,16,13,10,-11,-19,22,6,-60,-5,69,10,-10,3,12,-4,10,22,5,-17,-12,10,-13,-11,11,-12,-3,23,8,5,-2
047600_1..S02R::1404705600.0,23,27,4,33,33,10,9,16,-92,22,-44,3,11,16,7,10,-6,60,-9,-2,20,9,4,1,-6,6,61,1,4,-1,4,-23,11,2,17,11,-7,21
048150_1..S07R::1404705600.0,40,1,-8,-4,79,15,7,6,76,51,14,-11,,31,2,-71,5,-20,2,-59,8,3,3,17,-15,-11,12,-49,5,8,0,-8,-10,-1,0,-1,9,7
048400_1..S02R::1404705600.0,44,-15,-21,19,62,9,-26,-2,12,17,13,1,-19,38,8,53,-3,65,6,19,-7,2,5,8,13,11,15,-7,-3,11,-3,19,-8,5,-5,-3,13,8
048600_1..S02R::1404705600.0,,,,,,,,,,-3,-10,4,131,,16,,,,,24,,,8,,5,,-3,-4,,,10,,,,,,-6,
049100_1..S02R::1404705600.0,52,-22,19,-9,43,5,1,11,-76,2,-3,0,-19,17,13,-52,-3,16,10,3,8,-3,-17,17,0,10,169,-6,-3,-12,8,25,3,2,3,4,-7,12
049400_1..S08R::1404705600.0,,,,,,,,,1061,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,
049550_1..S07R::1404705600.0,59,-8,12,13,87,-1,-5,16,-88,-8,1,-12,,48,5,-58,12,76,-2,1,17,23,-3,3,-4,20,16,-19,-10,3,-5,-13,19,-10,-6,14,3,3
049800_1..S02R::1404705600.0,7,-23,8,16,-9,19,3,8,-31,25,4,4,11,31,6,72,-7,31,16,7,0,28,7,4,1,7,1,0,15,-4,-9,16,-16,1,21,5,3,-1
