,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
058550_1..N02R::1404532800.0,-15,12,8,177,10,0,5,10,-12,60,-21,,,66,-31,-60,7,-5,-11,-6,-16,-19,-4,11,-6,11,-9,-1,-15,22,-2,88,-6,-9,5,-18,-6,8
059350_1..N02R::1404532800.0,10,34,13,109,4,10,4,19,10,4,15,-11,-19,64,11,5,-12,0,1,-11,11,-1,6,1,-5,-2,-26,9,-14,3,12,61,-60,11,1,-8,4,-5
060150_1..N02R::1404532800.0,-1,14,4,4,13,-5,33,-4,39,36,-12,-15,-19,64,3,4,23,-13,21,-13,0,9,-6,15,2,-2,-26,10,-28,21,-11,74,33,-7,-4,-3,4,1
060950_1..N02R::1404532800.0,-8,1,-10,90,-3,-1,4,32,-9,62,-15,-15,-19,58,7,-5,15,-4,-15,-8,8,-13,2,10,-4,6,-19,3,12,17,-3,60,-11,-7,-17,-17,16,1
061750_1..N02R::1404532800.0,-28,15,6,6,-4,-7,-2,9,-2,136,-10,-1,-19,61,-12,-18,-9,-11,-13,0,-12,-8,9,2,-11,-19,-37,-7,6,22,8,-25,-4,-13,-7,-5,-5,-24
062550_1..N02R::1404532800.0,-11,36,-2,93,4,-8,-10,11,8,2,-14,8,11,47,-6,-8,-5,10,-1,-7,8,9,14,20,15,0,-34,-4,-13,-2,-21,50,11,-8,19,-11,-3,-9
063350_1..N02R::1404532800.0,8,18,5,2,-6,12,12,7,-24,3,4,12,11,24,-2,8,12,-3,16,12,7,2,0,6,6,14,-5,-14,8,39,12,-33,16,10,8,-9,4,14
064150_1..N02R::1404532800.0,0,20,-36,85,13,-7,19,6,0,56,-10,16,-19,57,-25,-2,4,15,22,16,13,-9,-5,15,8,-7,62,6,-3,19,-1,-25,-2,-8,-1,13,-11,12
064950_1..N02R::1404532800.0,,,,,,-9,478,-12,0,-10,-5,-8,101,,,,,-37,18,-16,,-7,,-14,-7,-10,-20,,,-6,2,-20,,-9,,9,,-7
065750_1..N02R::1404532800.0,8,24,16,1,-34,27,-21,16,6,97,14,-11,11,52,-12,4,15,-20,-3,-9,1,2,16,-2,18,-4,-24,7,15,56,-14,-29,7,-1,10,-4,19,-37
066550_1..N02R::1404532800.0,8,9,11,8,4,-8,38,10,13,101,-18,12,-19,50,2,7,-5,13,-1,-5,8,10,0,20,-24,3,-28,13,-7,21,-14,-26,-14,-9,4,-38,5,29
067350_1..N02R::1404532800.0,-14,-7,20,126,-13,-12,3,13,-9,57,-10,-85,-19,48,1,-14,-17,16,10,-4,9,-10,3,6,-9,7,-16,-5,-4,6,-3,77,-18,14,10,11,7,-34
068150_1..N02R::1404532800.0,-4,14,-14,2,1,17,18,-6,1,-2,0,-16,71,26,-3,-14,-17,3,20,-16,-1,-2,16,10,-4,-4,-25,-6,-13,31,8,-36,2,-12,-7,-12,16,4
068950_1..N02R::1404532800.0,-11,-2,-3,14,23,39,-3,-8,13,47,7,-95,101,74,-48,-2,-24,9,3,-4,-13,8,7,-3,-5,8,-25,6,6,34,-9,-23,-8,5,17,5,-10,-4
069750_1..N02R::1404532800.0,-9,-13,13,60,-14,20,-22,11,-13,128,-9,-6,-19,56,0,14,10,12,11,-5,8,-8,3,10,18,3,-17,-9,-31,35,4,-24,13,-12,11,-11,7,-16
070550_1..N02R::1404532800.0,14,12,-5,50,15,1,4,1,-11,11,-1,7,-19,71,-13,-8,2,-7,10,0,7,-20,6,0,2,5,-5,-7,1,9,-7,86,16,4,10,1,-1,16
071350_1..N02R::1404532800.0,-1,-10,9,134,-3,26,5,7,-13,28,-7,-3,-19,70,-3,5,-7,-8,-20,-7,9,-7,4,7,-11,-13,-9,-4,6,17,4,88,-2,-16,-12,13,-3,15
072150_1..N02R::1404532800.0,0,9,16,-8,-6,26,1,8,15,15,0,-11,71,54,10,16,12,6,1,-1,-6,-7,-22,-6,11,8,-25,20,11,-1,-2,6,0,-3,-38,5,16,25
064950_1..N::1404532800.0,-15,-23,-15,2,,,,,,,,,,70,8,-10,,,,,-53,,-25,,,,,23,,,,,-32,,7,,20,
072950_1..N02R::1404532800.0,-4,-4,-9,13,4,30,-2,16,1,58,-8,-5,11,52,-4,-8,-6,6,-5,-10,-13,-14,21,-2,-10,-1,-16,2,-12,18,1,50,-7,1,-9,-16,13,-7
073750_1..N02R::1404532800.0,-27,-47,3,92,7,115,-1,6,-4,70,-10,22,-19,58,9,-21,3,-1,-7,-3,6,-9,-21,2,-14,-19,-36,-9,-14,-2,5,57,-7,-13,-7,-13,-51,7
074550_1..N02R::1404532800.0,-8,-11,0,-25,-31,-12,22,-1,-3,83,0,-4,11,54,5,-7,-13,6,9,-11,6,-18,17,18,-3,-6,-20,-4,13,29,-8,-14,22,-9,-8,30,-27,9
075350_1..N02R::1404532800.0,4,2,-1,21,7,-12,6,-26,3,79,-12,24,11,65,9,2,-35,7,20,-13,6,-14,4,5,4,-6,-6,8,-68,19,-5,53,7,18,5,5,-7,-16
076150_1..N02R::1404532800.0,7,-9,10,-12,6,19,15,28,7,123,-1,-7,-19,44,-2,-17,2,4,13,-14,24,-1,-4,10,22,-5,-24,-8,-14,4,8,-14,-15,-12,-1,-9,6,10
076950_1..N02R::1404532800.0,21,-8,-1,1,-2,26,-1,22,-1,3,-15,15,-19,71,-3,-2,-15,8,-12,16,3,1,14,-7,-10,-24,-34,3,15,37,14,24,6,-3,-62,-7,-4,5
077750_1..N02R::1404532800.0,8,-24,-8,87,8,18,1,-5,-7,50,-70,10,11,55,9,-7,3,10,12,-4,-18,-14,-2,2,-3,10,-32,3,-5,36,-35,66,-6,-16,-1,11,20,5
078550_1..N02R::1404532800.0,-1,-15,-11,-14,10,-2,18,20,13,78,15,10,-19,52,-7,-11,0,15,29,-7,-9,15,16,-12,17,-1,-8,-3,-5,44,-9,59,7,-5,-8,5,28,14
079350_1..N02R::1404532800.0,-7,-6,18,53,17,-21,1,-2,5,48,-10,5,11,66,-12,-12,6,-9,20,-6,11,17,13,-3,2,1,-6,-7,1,24,-10,57,-5,8,-11,3,17,8
080150_1..N02R::1404532800.0,-2,4,-10,88,-13,-3,-17,8,11,52,-16,-23,-19,63,-16,-7,11,-15,3,-10,9,-18,10,-15,11,-1,-27,2,-1,33,-6,54,-15,-6,-12,9,12,12
080950_1..N02R::1404532800.0,-7,8,5,9,2,27,0,-1,4,47,-14,-9,-19,64,16,7,-9,9,-7,-7,9,-15,12,-6,-8,-5,-21,11,18,45,-4,66,14,-4,-11,6,3,14
081750_1..N02R::1404532800.0,5,7,73,4,1,16,-1,6,7,77,-36,10,11,63,9,18,-13,17,-5,-5,5,-4,1,20,9,0,-30,17,-5,28,-33,-5,6,-12,4,9,19,-8
082550_1..N02R::1404532800.0,10,17,-3,9,3,6,19,12,-3,4,-18,2,11,52,18,-7,-3,15,13,14,8,10,12,11,9,-11,-12,-3,-9,38,14,48,13,10,8,-7,-5,-6
083350_1..N02R::1404532800.0,0,-4,18,-33,11,10,41,26,9,1,-2,11,11,78,-2,-21,-5,-6,0,-14,-5,-6,-5,18,15,-4,-5,-16,2,51,7,87,28,13,-35,-14,18,14
084150_1..N02R::1404532800.0,-19,11,20,4,6,-1,3,-1,13,81,12,-16,-19,53,4,17,-10,19,1,-3,4,4,19,-9,4,2,-28,-29,-6,47,8,-28,8,-2,22,14,18,11
084950_1..N02R::1404532800.0,6,10,-8,-35,-10,5,-27,-21,12,90,0,-3,11,73,7,22,-18,-4,0,3,1,-3,-2,4,6,9,-23,-10,6,40,3,-35,3,7,0,-13,17,18
085750_1..N02R::1404532800.0,11,10,9,11,-1,21,8,7,17,60,-6,-8,-19,55,-12,12,-8,6,6,-4,17,-4,-7,9,6,5,-24,-12,18,35,7,68,-4,-10,5,-16,14,16
086550_1..N02R::1404532800.0,6,6,-4,104,-2,-1,20,-10,-16,50,12,-11,-19,54,-13,-2,-5,-5,-20,-2,12,9,-13,-13,15,5,-25,9,10,-20,-13,68,-8,-4,-3,-27,-14,0
087350_1..N02R::1404532800.0,-9,3,1,14,11,-5,33,1,1,110,-9,-8,-49,78,7,-1,3,14,22,-13,12,-12,3,13,3,-13,-17,8,-3,12,-1,-21,15,-7,13,9,4,9
088150_1..N02R::1404532800.0,-11,-12,-24,116,10,15,7,-9,-20,57,-71,-10,-19,63,-37,7,3,7,7,-11,5,-21,3,5,-1,3,-46,-13,-10,5,-4,82,-10,14,4,-19,42,-6
088950_1..N02R::1404532800.0,15,-8,-5,11,8,6,14,18,-1,81,4,20,11,56,15,-10,-3,19,19,-15,13,-10,2,4,9,-8,-34,-4,-6,46,2,-8,14,8,6,8,31,3
089750_1..N02R::1404532800.0,-4,-4,3,-25,-27,11,15,-25,6,100,-11,-1,11,58,-2,1,-12,17,26,-5,6,14,-7,9,8,0,-15,2,-8,44,-9,-16,18,11,-3,0,2,26
090550_1..N02R::1404532800.0,4,12,-7,4,5,16,26,36,-11,54,9,7,11,52,-13,-9,-11,25,40,10,5,4,7,18,-8,-19,-23,20,-8,18,8,-18,6,-10,7,14,23,-10
091350_1..N02R::1404532800.0,22,4,12,-3,4,14,-12,20,-12,87,-14,19,11,40,8,11,18,18,22,-18,-5,12,-6,14,13,6,-30,12,-7,44,13,-16,-5,15,-7,-13,10,2
092150_1..N02R::1404532800.0,11,2,18,60,-5,9,-1,-6,-13,53,-13,-6,-49,44,2,-12,19,7,12,0,-17,-15,-29,-2,-4,-20,-14,1,4,-5,-1,83,-5,7,1,5,15,0
092950_1..N02R::1404532800.0,-55,11,5,12,9,12,12,60,3,6,-12,-11,-19,66,-15,-5,-1,-6,17,-6,15,11,14,4,22,-4,-3,-3,2,38,-11,56,-13,13,-10,0,5,11
093750_1..N02R::1404532800.0,4,3,-25,10,19,50,63,44,11,16,-8,7,-19,64,-25,18,0,15,1,-2,4,13,-8,14,23,0,-35,16,-20,51,-12,86,-27,-10,0,1,13,16
094550_1..N02R::1404532800.0,-17,-6,-10,64,20,18,5,-8,6,119,-13,-16,11,65,-1,-7,7,-7,-9,-17,7,-14,-2,10,-2,-6,-29,2,0,19,-2,-28,-11,-12,8,-18,12,1
095350_1..N02R::1404532800.0,-8,10,38,12,9,-1,-19,27,21,24,-13,16,191,51,-15,13,-4,-5,33,4,8,7,10,3,24,35,-17,14,2,48,17,-13,9,5,17,23,15,12
096150_1..N02R::1404532800.0,-12,6,4,75,1,28,-32,22,-3,-16,-15,-16,-19,47,10,3,-5,-26,16,5,12,15,5,-8,13,-14,-23,12,11,18,-10,89,5,-2,11,2,16,0
096950_1..N02R::1404532800.0,-12,-48,20,2,8,13,5,21,-17,97,-13,6,11,46,-5,1,-8,13,20,47,20,-14,14,24,11,12,-21,1,1,40,-9,-49,13,20,14,-3,23,10
097750_1..N02R::1404532800.0,10,17,-9,5,-3,14,45,16,-27,7,9,28,11,56,2,-10,-9,-1,22,-12,9,-6,-5,6,16,-2,-30,-5,7,28,-28,-67,-3,8,-1,10,15,-6
098550_1..N02R::1404532800.0,5,19,-5,6,1,22,3,0,-5,7,-14,-51,-19,66,11,-9,-12,15,16,8,-11,4,-5,-7,0,-16,-17,-4,21,34,18,46,-4,-3,4,-5,32,25
099350_1..N02R::1404532800.0,-6,13,1,1,14,17,4,10,-15,70,-6,0,-49,74,3,-10,-99,-2,10,-9,-2,-12,19,-10,6,-6,-22,-7,-25,39,-8,-7,-6,-4,-9,2,1,33
100150_1..N02R::1404532800.0,2,1,14,-3,-4,20,20,23,-9,107,-15,10,11,60,8,11,-13,5,8,-5,-4,-20,3,-37,15,0,-14,14,13,29,-8,-15,22,-4,2,3,8,2
100950_1..N02R::1404532800.0,-11,19,23,-3,-10,10,15,9,,2,5,18,-19,68,-15,-14,11,-6,15,-17,-4,3,13,10,11,16,-32,-5,3,-4,7,16,6,17,17,-14,18,25
101750_1..N02R::1404532800.0,-9,13,24,-2,-1,20,19,42,14,77,-7,-10,-19,,-13,19,14,5,17,-5,0,-5,13,34,-8,3,-27,-11,15,37,5,-3,21,-7,-13,12,1,-8
102550_1..N02R::1404532800.0,,,7,-5,-5,36,27,27,-1,22,-10,-7,-49,,,24,10,7,15,-5,-7,-6,,4,-6,3,-19,-17,12,24,2,75,-3,7,,12,8,2
103350_1..N02R::1404532800.0,,,,21,0,20,6,8,14,-2,-6,-11,11,,,,13,27,29,8,14,12,,-7,4,13,-34,,-8,44,13,-12,,-5,,-12,,26
104150_1..N02R::1404532800.0,,,,,,15,25,9,18,52,3,6,41,,,,,-9,4,-11,,-3,,19,-2,20,-15,,,49,4,-27,,18,,12,,-3
104950_1..N02R::1404532800.0,,,,,,,-44,39,-6,0,10,9,11,,,,,,11,9,,5,,,2,-15,-8,,,32,12,51,,,,-8,,21
105750_1..N02R::1404532800.0,,,,,,,,,-7,5,-12,22,-19,,,,,,13,8,,13,,,,12,-30,,,-85,20,48,,,,-6,,
106550_1..N02R::1404532800.0,,,,,,,,,,,-10,-7,-19,,,,,,,,,-13,,,,,-25,,,,-1,68,,,,-73,,
107350_1..N02R::1404532800.0,,,,,,,,,,,,-60,-19,,,,,,,,,,,,,,,,,,,,,,,,,
108150_1..N02R::1404532800.0,,,,,,,,,,,,,-379,,,,,,,,,,,,,,,,,,,,,,,,,
108950_1..N02R::1404532800.0,,,,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,
109750_1..N02R::1404532800.0,,,,,,,,,,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,
110550_1..N02R::1404532800.0,,,,,,,,,,,,,-1819,,,,,,,,,,,,,,,,,,,,,,,,,
128150_1..N02R::1404532800.0,-7,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
128950_1..N02R::1404532800.0,1,22,,,,,,,,,,,,50,-9,,,,,,,,16,,,,,3,,,,,,,5,,,
129750_1..N02R::1404532800.0,9,3,12,,,,,,,,,,,69,7,7,,,,,,,8,,,,,15,,,,,-6,,4,,12,
130550_1..N02R::1404532800.0,13,-4,25,27,19,,,,,,,,,66,0,16,30,17,,,15,,17,,,,,9,15,,,,4,,17,,11,
131350_1..N02R::1404532800.0,-18,-5,-3,41,-10,22,25,,,,,,,57,1,-7,7,6,,,1,,44,-11,,,,0,8,,,,-4,-6,9,,-13,
132150_1..N02R::1404532800.0,0,-18,15,68,17,6,2,2,,,,,,45,-11,-13,4,-7,,,10,,11,-2,-2,,,-9,0,16,,,-14,2,-2,,8,22
132950_1..N02R::1404532800.0,14,2,-2,-9,14,11,20,28,-8,108,,,,67,-33,-1,7,-11,13,-8,-6,,15,1,16,5,,6,-1,36,,,4,8,10,1,-4,7
133750_1..N02R::1404532800.0,-79,-3,-3,73,-25,27,20,11,4,-8,-8,2,,46,-6,1,-4,3,-2,9,13,-25,-10,-10,-12,-12,-23,4,-13,15,-3,84,-7,-4,-6,9,-52,-8
134550_1..N02R::1404532800.0,16,-4,8,16,8,-7,19,-17,10,82,6,-12,-19,55,2,3,-4,-4,27,-7,9,-9,25,-9,-4,1,-4,6,2,16,10,-34,18,-2,15,18,3,21
135350_1..N02R::1404532800.0,7,16,4,-30,-26,2,10,-4,9,99,-11,-7,11,53,18,-1,20,16,-27,-6,23,14,33,4,26,-14,-15,1,-33,22,-13,-24,19,5,11,-2,5,13
136150_1..N02R::1404532800.0,13,-2,3,10,18,3,26,22,14,108,0,10,11,58,-3,0,1,14,31,-2,0,-5,12,16,-62,9,-40,5,9,44,-23,-10,4,-21,20,10,14,19
136950_1..N02R::1404532800.0,10,2,24,75,5,-3,-6,24,-18,7,-16,-7,-19,56,7,10,-4,14,6,-4,-3,10,0,-10,,1,-17,14,-6,37,-14,70,5,-4,7,-5,-7,5
137750_1..N02R::1404532800.0,-37,14,18,8,-6,21,13,15,-26,22,3,-10,-49,49,16,4,10,18,1,-3,0,2,-2,13,10,-6,-20,2,10,55,10,13,5,-9,0,15,16,0
144100_1..N02R::1404619200.0,180,0,6,44,15,9,-1,-10,-15,12,-10,16,11,55,1,5,3,-4,5,1,6,-52,-8,-1,-1,-20,-40,9,1,22,-6,52,-2,6,-4,-35,15,13
144900_1..N02R::1404619200.0,3,-5,15,15,18,26,-1,17,6,89,11,-7,-49,69,-12,7,1,7,208,-5,14,4,9,-6,-6,-1,-22,8,9,33,14,-20,18,0,5,-10,18,-1
145700_1..N02R::1404619200.0,250,3,12,74,9,110,-3,-4,4,74,-2,-10,-19,48,-18,-11,6,4,25,3,-14,-1,-28,0,-18,-14,-13,0,-10,24,13,69,0,-13,5,-5,-2,-4
146500_1..N02R::1404619200.0,20,3,5,37,25,49,6,14,7,28,-12,-11,11,52,-37,-2,-5,3,22,-3,18,13,16,1,17,-3,-22,20,-4,20,19,-30,24,17,7,-10,9,-4
147300_1..N02R::1404619200.0,28,-17,0,68,-8,16,-5,6,-4,98,-5,-9,11,62,10,4,-13,-9,23,-6,13,-6,-3,-2,-20,-22,-20,-15,5,38,7,-17,-3,-19,3,-8,-13,13
138550_1..N02R::1404619200.0,10,,,,,,,,,,,,,47,,,,,,,,,1,,,,,,,,,,,,-25,,,
139350_1..N02R::1404619200.0,-61,-2,,,,,,,,,,,,59,8,-13,,,,,,,7,,,,,-21,,,,,,,15,,,
140150_1..N02R::1404619200.0,-2,5,22,-31,,,,,,,,,,60,-33,-14,,,,,-2,,-9,,,,,20,,,,,-13,,-4,,31,
140950_1..N02R::1404619200.0,-3,-6,6,17,23,2,,,,,,,,52,1,-5,3,9,,,16,,-7,,,,,-3,10,,,,16,,-3,,-25,
141750_1..N02R::1404619200.0,53,11,2,-15,7,-103,2,18,,,,,,50,-12,2,-34,6,,,-8,,8,2,-7,,,11,-38,,,,-2,-14,-14,,-10,-3
142550_1..N02R::1404619200.0,-9,-1,18,17,-6,7,0,1,7,,,,,62,0,14,13,17,-3,-10,12,,15,3,4,-22,,15,18,-9,,,7,7,21,,19,15
143350_1..N02R::1404619200.0,10,0,-7,16,9,8,11,2,3,93,,,,60,-2,-2,-6,16,107,-7,-11,-7,7,4,4,-15,,4,-6,0,8,,-5,4,9,-12,13,18
148100_1..N02R::1404619200.0,303,8,-57,5,-7,7,-1,8,-8,46,-4,-19,-19,70,-67,2,-13,-7,16,-1,10,-6,-10,0,-9,5,-24,11,7,32,1,-17,-61,-22,-4,-10,-16,12
149000_1..N02R::1404619200.0,16,12,19,0,-6,-10,18,3,3,2,-12,12,41,50,4,-16,11,3,22,-10,-2,10,12,11,-19,-5,-16,-8,10,14,19,11,-2,-12,13,-8,-13,10
150100_1..N02R::1404619200.0,-2,-6,1,13,18,11,8,-1,-9,-3,4,-12,-19,75,-6,0,3,-44,14,9,11,-1,2,8,8,13,-6,1,0,27,6,-15,16,66,3,-13,1,-21
007450_1..N02R::1404619200.0,-3,18,15,4,0,-6,14,-18,4,51,-73,-22,-49,50,-8,16,-4,12,25,-12,11,-45,14,9,1,-1,-37,-10,19,16,0,18,-14,-10,-11,13,6,4
009450_1..N02R::1404619200.0,293,8,-2,7,-3,32,15,8,-5,98,-14,-63,-19,50,10,0,-8,7,-7,-1,15,-11,9,19,17,-4,-15,6,12,19,5,-3,13,-7,17,-10,-13,25
011450_1..N02R::1404619200.0,-3,8,24,7,-14,-2,35,-11,-14,89,-9,-15,-19,64,-12,-25,9,-15,10,-8,12,-18,13,-17,-1,2,-21,12,-1,6,0,14,0,-4,-62,-17,234,9
013450_1..N02R::1404619200.0,-4,7,6,5,-12,-3,30,25,-7,-65,10,-7,581,74,-11,7,-3,9,8,10,5,-23,12,-12,3,20,-13,14,8,28,-59,-36,10,-4,37,9,-2,-28
015450_1..N02R::1404619200.0,20,8,0,16,3,11,-11,-3,-34,0,-70,5,191,54,11,5,-1,1,22,22,14,-5,11,-7,1,-16,-13,12,-16,17,7,-11,0,7,18,-14,-10,4
017450_1..N02R::1404619200.0,12,-8,17,10,-3,7,2,16,-4,75,2,-9,11,60,-3,12,-11,-6,-11,0,11,3,-3,0,-8,-20,-21,-8,8,18,-13,17,18,9,-20,-3,5,-8
019450_1..N02R::1404619200.0,-52,-9,-7,-24,5,20,15,1,-15,66,4,-19,-19,57,-1,-8,-6,7,8,-2,6,-5,-12,15,7,1,-5,0,-10,4,-16,-12,3,-10,-3,-5,-11,12
021450_1..N02R::1404619200.0,-8,5,-5,61,14,17,3,-32,15,50,10,-11,-19,47,10,-28,-22,-18,7,-8,11,9,10,-26,-4,3,-27,7,-4,2,-10,-9,-7,14,17,3,-16,-10
023450_1..N02R::1404619200.0,-11,16,12,98,10,-4,11,0,-10,68,-37,-28,-19,56,-7,-14,4,8,18,-7,10,0,10,8,-24,-24,-41,-8,-8,14,9,10,14,-9,14,-5,3,3
025450_1..N02R::1404619200.0,2,8,-5,73,7,4,13,-6,0,82,12,-15,-19,64,-14,3,2,1,-2,-1,13,8,14,-17,5,-17,-19,13,-13,31,-9,-10,-11,-5,-4,4,15,-2
027450_1..N02R::1404619200.0,-7,-37,-63,-4,4,86,3,13,-5,97,1,-20,-19,68,-68,-55,-36,1,-10,-4,6,0,10,7,-6,-20,-25,-1,-14,-1,11,8,-18,-11,-8,-8,-20,-14
029450_1..N02R::1404619200.0,8,14,5,2,8,1,22,13,,71,3,-7,-19,64,6,10,30,12,8,-13,5,-7,-1,-14,-64,1,-14,-13,-37,4,11,-14,8,-6,4,-7,-3,-59
031450_1..N02R::1404619200.0,-6,-8,-17,-14,18,58,12,-14,14,23,-10,0,11,39,-4,-11,8,-5,5,-4,-7,-10,-4,-17,-2,5,-33,-1,8,13,-36,61,12,-4,-2,-22,4,-10
033450_1..N02R::1404619200.0,-6,-49,8,82,8,18,-7,8,-10,60,-17,-2,-19,59,13,-15,0,3,13,-6,13,-22,7,-1,-18,2,-14,-7,-10,10,-1,-6,-2,10,-12,-16,20,11
035450_1..N02R::1404619200.0,-14,0,2,38,6,-11,8,-6,4,-14,-14,-19,-19,57,5,-1,-1,6,-3,12,-19,-14,5,-21,2,-12,-28,2,-11,81,-8,-1,11,-11,11,1,-33,-1
037450_1..N02R::1404619200.0,3,-10,9,148,13,-11,13,-12,-3,10,-60,-55,-19,49,-5,-16,7,13,38,5,228,-48,13,4,2,-15,-18,-8,-5,1,-28,20,-6,1,-4,-2,13,-10
039450_1..N02R::1404619200.0,5,11,22,3,-2,16,11,16,11,4,-17,14,-19,55,14,16,-13,5,-7,-8,10,11,6,9,18,-1,-31,-14,17,22,16,7,2,16,2,-7,18,-6
041450_1..N02R::1404619200.0,-13,14,1,4,-7,54,9,2,-3,15,6,14,11,49,-10,-37,-13,-7,-9,0,10,-3,10,5,11,-18,-30,4,-25,-10,15,19,8,-11,10,-3,-6,8
043450_1..N02R::1404619200.0,-7,11,3,62,-12,-5,9,-3,5,-6,-34,-17,-19,49,-13,6,12,-13,-1,11,9,-27,12,8,-22,-10,-22,14,0,12,12,9,5,-10,-12,23,0,4
045450_1..N02R::1404619200.0,1,12,-7,94,9,6,-10,-1,-14,-17,-6,-22,-379,55,-61,-1,7,2,14,-23,6,-8,-38,-5,-18,-2,-27,7,-10,198,6,278,-18,-1,-5,-8,12,-3
047450_1..N02R::1404619200.0,20,-9,-8,15,8,0,-8,9,25,6,-3,-10,131,63,-14,-5,-71,8,4,-3,-14,-3,13,-6,-70,8,-18,2,-37,28,8,17,-10,-3,14,-10,12,15
048950_1..N02R::1404619200.0,-14,3,6,18,-1,-21,-2,-22,1,-5,-8,16,191,59,-6,6,-8,1,-76,13,-10,-9,-3,-25,-16,-8,-30,12,11,28,0,2,5,5,6,7,-4,16
050450_1..N02R::1404619200.0,10,-3,-2,-8,13,6,2,21,-28,-15,-14,-24,-19,50,-36,-1,4,16,11,6,-7,-18,-2,0,-5,-15,-38,4,-4,30,-6,12,2,6,3,3,-9,-4
051650_1..N02R::1404619200.0,9,7,-8,8,1,12,0,12,12,-1,-69,-2,-19,60,11,-3,-9,-3,-1,-13,-18,-8,3,-2,-9,-2,-48,7,12,64,2,19,-11,10,7,-16,12,18
052850_1..N02R::1404619200.0,9,-13,3,80,2,13,-4,12,-6,13,2,-23,-19,45,-5,10,-4,-34,19,3,-13,-4,-7,-4,-10,-16,-29,-33,-14,73,-16,-8,-35,7,2,-3,-8,-10
054050_1..N02R::1404619200.0,-8,-1,2,-9,-10,0,-6,14,-9,17,-14,-9,-19,54,7,3,13,-46,13,-36,-4,11,10,-32,-6,9,-17,7,3,66,-11,13,0,-4,-16,0,15,-11
055250_1..N02R::1404619200.0,-37,-3,-7,61,-8,1,14,7,22,5,-3,-28,-49,35,8,-3,11,-6,-2,-38,12,-10,7,-12,13,5,-33,4,5,62,4,28,-13,-3,-12,-10,7,8
056450_1..N02R::1404619200.0,22,18,0,-4,8,7,35,1,10,14,0,-87,-49,39,14,-4,-7,-4,21,-3,-10,,1,12,-2,0,-21,-1,-3,47,3,38,16,13,-2,5,-31,18
057550_1..N02R::1404619200.0,8,-13,14,-7,-21,-2,0,19,-2,-2,-5,-11,-19,45,12,-15,1,13,15,-13,-2,-6,1,-3,-8,-6,-22,-8,-33,16,2,84,-25,2,7,-16,11,-2
058550_1..N02R::1404619200.0,10,5,5,-27,15,-4,22,-14,23,-1,-3,-16,-19,54,5,5,5,-12,96,-7,-1,-4,-3,-37,-14,4,-29,9,0,-16,4,-17,-23,-6,4,-16,-2,-5
059550_1..N02R::1404619200.0,2,3,-17,-16,1,-1,14,4,39,12,-12,-6,-19,20,5,-11,-5,-5,-9,-25,-8,-8,-5,-17,-20,-11,-9,1,-19,51,7,88,6,-9,2,-62,1,6
060550_1..N02R::1404619200.0,8,12,12,4,-2,60,-2,15,10,18,-10,-3,-19,46,-10,16,-10,-3,-20,-3,12,-20,14,-1,-6,6,-49,-10,10,24,-8,66,-13,4,18,-26,7,-11
061550_1..N02R::1404619200.0,13,-7,17,-12,11,-5,21,13,33,16,12,12,11,67,-12,-13,1,14,27,3,-5,8,1,17,-16,22,-28,-3,-5,11,-64,-24,2,-6,8,0,12,-9
062350_1..N02R::1404619200.0,14,24,-6,82,10,55,12,-9,17,-13,2,-4,-19,72,-8,3,4,-27,18,-16,6,-1,13,-15,1,-4,-40,-16,-8,73,-14,-50,-6,-5,10,0,-12,-7
063150_1..N02R::1404619200.0,-2,28,0,12,9,0,22,20,17,16,-12,17,-19,57,-8,-2,-2,-8,12,4,13,-24,17,-10,-9,-20,-26,4,2,34,-8,71,12,-5,26,1,1,-6
063950_1..N02R::1404619200.0,-11,-8,17,-7,-9,36,9,7,-12,-11,5,-4,-19,44,-10,-13,12,2,8,9,-5,-1,-1,6,12,1,6,-7,9,-3,5,-40,-2,9,16,13,11,-12
064750_1..N02R::1404619200.0,21,-13,4,76,6,3,29,7,8,35,-8,-20,-19,66,-7,10,-2,26,5,-3,12,-42,20,-7,-12,-3,-25,-11,-13,4,7,72,0,4,15,-11,-7,11
065550_1..N02R::1404619200.0,-7,-7,11,102,-1,11,5,-8,11,-9,-6,-12,11,49,-2,14,-12,4,2,12,1,-10,-13,1,0,16,-23,-9,16,30,-2,44,11,10,-12,-22,2,0
066350_1..N02R::1404619200.0,13,14,-4,-2,-7,8,9,1,1,-14,-12,9,101,73,-10,-37,15,0,-10,8,0,-18,8,6,5,-11,-5,7,9,36,-5,-11,5,11,5,7,-8,13
067150_1..N02R::1404619200.0,-14,14,-7,10,6,89,-4,8,10,11,6,5,-19,48,3,-5,-2,-2,4,2,-16,-4,0,-7,-14,-6,-7,4,-17,31,-13,55,1,5,8,0,-42,11
067950_1..N02R::1404619200.0,-3,8,10,72,0,13,7,-4,4,-12,-9,-12,-19,43,-14,9,-8,5,-3,8,-16,-14,13,7,3,-14,-18,14,-70,140,-4,-25,-9,15,-11,9,9,-24
