,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
150800_4..N13R::1404792000.0,54,-5,-9,14,-4,24,31,-1,28,1,34,8,1,-560,-71,32,-3,4,45,2,24,12,-1,-5,-11,2,-15,5,11,16,5,2,-14,-3,-9,-6,-78,-65,-29,7,-3,12,10,29,4,0,-1,15,6,-14,-8,-1,-16,23
152800_4..N13R::1404792000.0,23,-8,-8,32,12,37,30,2,3,-15,18,8,2,-586,-72,24,1,-10,-2,1,13,12,5,-6,14,4,-10,9,-49,3,-6,-9,4,-96,-20,7,28,9,2,-22,10,-3,-4,35,-10,9,8,-1,5,-13,19,5,13,1
010800_4..N13R::1404792000.0,47,15,-10,123,-1,8,7,-9,28,3,11,2,8,-580,7,47,-4,-1,21,15,-7,-5,-4,10,38,4,-8,13,-19,-28,-9,13,-4,5,-6,-2,26,28,-6,2,-2,-18,12,26,-11,27,31,6,17,-12,32,-11,5,74
012800_4..N13R::1404792000.0,65,22,-2,295,17,8,28,10,9,3,-11,-1,16,-574,7,22,14,6,13,44,27,18,17,-4,19,4,15,0,11,0,11,32,-1,3,9,13,28,4,-1,-8,-5,7,-1,28,-5,11,-24,6,-1,2,15,10,19,0
014800_4..N13R::1404792000.0,65,-5,-3,188,-4,-12,38,17,21,-4,34,12,6,-570,-28,26,7,3,-5,3,10,3,6,-10,178,11,1,-8,-19,-2,-12,12,-4,7,-7,7,81,-9,-4,-5,-56,5,4,35,-1,-6,-10,-1,8,-12,-2,4,-8,13
016800_4..N13R::1404792000.0,67,1,12,28,3,60,44,19,-3,-7,22,16,2,-658,26,32,8,-2,-25,-10,-2,-12,-6,1,-4,21,-2,-14,11,-7,9,0,12,-10,-15,15,-17,-70,18,-2,-15,2,-8,35,10,-4,16,13,-8,1,-5,16,2,13
018800_4..N13R::1404792000.0,56,-7,-9,96,34,12,46,-7,39,-38,10,6,-2,-562,18,35,-1,11,8,-22,-6,8,0,-11,5,0,-15,,-19,-18,-37,10,-9,-1,2,16,10,1,-8,8,-10,6,1,126,-1,-11,15,4,6,-17,8,1,13,25
020800_4..N13R::1404792000.0,56,-55,-27,42,-2,-6,22,-13,0,-4,3,-2,-10,-556,10,72,-12,15,13,1,5,8,16,-11,10,11,-4,12,-19,19,5,-1,-15,-2,-11,-4,-7,3,6,-3,6,-7,-9,21,-15,-19,-19,-38,2,13,16,14,0,-72
022800_4..N13R::1404792000.0,68,-10,4,-17,11,24,18,2,12,-7,14,8,-17,-454,9,2,1,7,22,-1,-11,0,15,-15,-14,12,0,-9,-19,19,6,4,-12,-2,16,-15,35,8,-19,10,3,-11,-12,30,-86,,8,-7,-28,-16,-10,-4,-15,7
024800_4..N13R::1404792000.0,69,15,4,23,16,16,32,2,15,-10,61,23,6,-308,19,19,7,15,24,-2,-1,13,23,-11,-6,8,19,-2,-19,11,-5,-13,-4,-4,11,-16,15,12,17,19,11,-9,12,18,-15,5,-4,-4,-2,-35,-11,-3,9,-3
026800_4..N13R::1404792000.0,56,18,1,3,29,3,-6,-20,26,-28,29,3,-50,-198,14,18,-73,21,2,7,3,9,14,-36,6,-25,-8,10,-19,6,-7,17,0,-18,1,,-12,-11,-30,-7,-16,1,-1,11,-7,-11,-11,30,-1,8,11,10,-2,15
028700_4..N13R::1404792000.0,70,2,-7,26,10,-2,12,-7,-20,0,12,8,18,15,-8,9,3,2,62,15,61,-14,8,1,10,4,-11,9,-19,-6,14,12,-35,4,-6,-4,-4,3,-17,6,11,-9,16,-7,-16,7,6,13,6,13,13,-15,-27,-6
030150_4..N01R::1404792000.0,46,-7,16,4,3,21,34,34,63,9,29,3,10,-8,26,40,19,6,24,17,9,16,5,-6,6,13,22,-3,71,-36,9,19,-5,-2,5,23,5,-6,11,22,,,,,,,,,,,,,,
031350_4..N01R::1404792000.0,42,-14,3,-8,9,-6,10,15,23,4,129,1,-13,-12,13,-7,6,15,30,-8,15,-14,9,-12,1,-9,13,5,-19,-5,-12,-13,6,-8,-12,-3,4,-9,4,-10,,,,,,,,,,,,,,
032550_4..N01R::1404792000.0,42,19,-12,23,8,1,9,1,33,16,24,-2,-5,5,19,29,14,14,71,18,9,6,-1,18,157,-4,8,1,-19,10,-3,-11,1,11,4,11,14,-3,9,15,,,,,,,,,,,,,,
033450_4..N01R::1404792000.0,40,17,-10,14,18,7,5,29,23,-2,23,-1,-8,8,5,19,7,8,3,7,-27,7,-27,-10,-2,-1,15,3,-19,9,-10,14,-5,0,17,-11,19,13,12,9,,,,,,,,,,,,,,
034350_4..N02R::1404792000.0,53,19,16,-2,16,14,0,18,7,21,44,22,2,4,20,39,8,17,20,19,20,22,7,-3,8,20,-2,9,191,-21,16,-6,1,-24,19,1,-1,,,,,,,,,,,,,,,,,
035550_4..N02R::1404792000.0,42,16,-13,21,6,-2,22,22,1,-3,18,-2,19,2,30,20,-10,2,1,3,10,-25,3,-11,2,-7,7,-4,-19,15,0,17,-1,7,11,38,12,,,,,,,,,,,,,,,,,
036950_4..N03R::1404792000.0,39,-26,-12,9,1,5,10,28,4,6,58,13,-10,-49,8,2,3,42,-4,5,11,-4,5,8,1,-5,-26,-4,-19,-2,13,9,-8,3,-7,,,,,,,,,,,,,,,,,,,
038150_4..N03R::1404792000.0,59,2,-2,54,21,14,7,15,1,12,25,18,32,-12,8,9,5,-7,-6,14,-13,-14,-19,0,6,9,-8,13,11,17,1,-3,9,16,10,,,,,,,,,,,,,,,,,,,
040350_4..N06R::1404792000.0,63,7,-10,11,-8,5,3,1,54,11,37,21,17,-4,26,2,11,12,-1,5,33,-6,9,7,3,-2,11,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
041350_4..N06R::1404792000.0,14,12,4,7,12,5,22,16,69,-19,16,-6,17,21,17,7,12,3,20,26,-14,13,28,21,3,4,14,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
042300_4..N06R::1404792000.0,,-10,11,33,20,50,10,21,18,11,39,,43,11,27,27,,17,4,7,12,-66,0,-9,24,19,-2,12,,,,,,,,,,,,,,,,,,,,,,,,,,
042600_4..N06R::1404792000.0,42,17,-13,20,28,51,11,21,11,-19,0,3,33,16,31,35,-4,2,9,-20,26,16,8,-1,5,21,-34,12,,,,,,,,,,,,,,,,,,,,,,,,,,
043000_4..N03R::1404792000.0,40,4,2,4,20,-131,15,11,15,91,38,14,-28,-29,19,9,21,-7,18,4,10,69,-8,7,-3,6,6,11,-19,11,-4,-12,-26,14,-2,,,,,,,,,,,,,,,,,,,
043200_4..N06R::1404792000.0,45,1,-42,23,17,16,-1,13,4,-19,33,11,-6,13,15,8,7,4,1,2,16,16,10,0,-5,3,-8,8,,,,,,,,,,,,,,,,,,,,,,,,,,
043500_4..N06R::1404792000.0,65,19,26,13,17,3,52,19,20,-19,33,-6,18,-1,6,-25,12,19,23,1,34,-10,-90,1,13,21,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,
044100_4..N06R::1404792000.0,68,20,-1,10,15,15,43,27,23,11,39,-2,31,0,28,30,11,23,16,70,13,21,25,-3,19,0,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
045000_4..N06R::1404792000.0,59,-57,5,14,25,4,4,22,-5,-19,23,-30,-9,-8,11,7,-8,-5,54,-3,47,115,19,-13,25,15,1,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
045600_4..N06R::1404792000.0,44,16,-1,3,25,16,8,0,9,-19,35,-9,31,90,30,45,10,12,20,1,26,7,16,-9,18,-28,16,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
046200_4..N06R::1404792000.0,38,9,13,98,10,4,27,29,31,-49,40,-7,15,15,6,20,14,-1,55,13,23,4,219,10,28,48,-5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
046800_4..N06R::1404792000.0,36,0,21,45,36,42,24,54,21,-19,36,13,276,-8,37,56,3,4,1,22,53,-9,21,3,34,-8,4,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
047050_4..N06R::1404792000.0,19,-6,19,26,9,202,31,29,19,11,49,-36,29,-21,16,30,9,29,12,20,38,1,11,10,36,-9,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
047650_4..N43R::1404792000.0,,,70,33,41,35,29,29,24,11,38,,34,53,33,46,,1,40,12,12,,15,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048150_4..N06R::1404792000.0,67,-5,-34,5,29,23,13,18,28,-19,35,3,37,0,7,40,13,18,-8,25,-23,-57,-11,0,16,2,-45,0,,,,,,,,,,,,,,,,,,,,,,,,,,
048600_4..N06R::1404792000.0,70,2,-15,-7,19,32,-3,20,39,101,24,16,26,21,43,52,6,22,46,3,-90,-13,3,2,24,-12,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,
049000_4..N06R::1404792000.0,53,-10,-3,310,18,2,26,54,24,41,23,6,26,8,26,66,-3,26,16,27,8,8,23,-9,14,6,-11,7,,,,,,,,,,,,,,,,,,,,,,,,,,
049450_4..N06R::1404792000.0,69,1,10,15,24,28,16,34,38,11,12,13,4,-96,10,13,6,-5,20,39,22,-9,-6,2,-24,-11,2,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
049900_4..N06R::1404792000.0,123,-12,1,13,17,31,-13,36,51,11,44,5,24,13,32,45,-5,-6,-11,-72,17,13,15,-9,25,7,-9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
050300_4..N43R::1404792000.0,,,4,48,14,36,8,34,37,41,5,,10,39,44,28,,-2,12,20,21,,-4,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050750_4..N06R::1404792000.0,53,60,-4,29,51,39,37,63,119,60,29,76,30,18,29,-36,0,-2,38,-3,19,-60,8,-1,37,7,-5,17,,,,,,,,,,,,,,,,,,,,,,,,,,
051150_4..N43R::1404792000.0,,,,,,,,,,-439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051350_4..N06R::1404792000.0,43,72,3,24,-20,28,33,36,21,71,43,-9,27,68,25,32,,24,-16,10,7,67,-10,46,40,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
042300_4..N::1404792000.0,64,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051950_4..N43R::1404792000.0,,,,,,,,,,-469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052450_4..N06R::1404792000.0,,,,,,,,,,-229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053050_4..N06R::1404792000.0,49,1,66,132,40,32,31,21,42,-49,35,-79,20,151,26,21,,15,-27,3,89,1,88,10,20,40,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
050050_4..N06R::1404792000.0,50,17,7,,,,,,,,,-12,,24,,,14,,,,161,5,20,18,,14,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
053650_4..N43R::1404792000.0,,,15,70,30,22,15,25,10,41,23,,21,39,21,26,,-60,11,9,,,7,,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054250_4..N06R::1404792000.0,70,11,-8,13,17,47,142,13,45,11,12,10,-17,,26,45,-6,,5,0,17,15,18,-10,49,-7,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,
054850_4..N06R::1404792000.0,56,-32,,126,37,23,27,47,7,161,87,13,28,-191,37,24,5,1,-6,82,30,-10,-119,30,50,,2,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
055450_4..N06R::1404792000.0,51,22,-12,-80,13,28,12,114,-26,41,45,23,-2,-262,12,78,4,,15,,1,-5,11,1,17,-10,-57,10,,,,,,,,,,,,,,,,,,,,,,,,,,
056050_4..N06R::1404792000.0,67,0,2,-8,73,82,35,13,22,11,32,12,90,13,81,-267,2,-16,35,-22,-187,-1,133,7,-137,11,-6,12,,,,,,,,,,,,,,,,,,,,,,,,,,
056650_4..N06R::1404792000.0,32,3,13,3,-57,88,-28,22,43,-199,-5,7,106,-277,73,19,-13,24,38,-76,100,-7,4,19,,-10,5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
056950_4..N43R::1404792000.0,,,24,8,24,31,64,12,-19,71,26,,25,48,20,-292,,-6,-22,-4,16,,20,,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057550_4..N06R::1404792000.0,68,0,7,2,-31,19,-7,69,-33,94,-18,-16,3,-76,2,14,4,17,93,-14,-86,14,9,-1,17,7,-7,11,,,,,,,,,,,,,,,,,,,,,,,,,,
058150_4..N06R::1404792000.0,,,,,,,,,,-349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058450_4..N43R::1404792000.0,,,,,,,,,,-529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059050_4..N06R::1404792000.0,,,,,,-128,22,-53,20,-889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059350_4..N06R::1404792000.0,60,12,-6,24,26,-9,10,-211,-6,101,38,17,,-155,3,27,22,-26,31,8,-204,16,17,-9,23,2,12,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
059950_4..N43R::1404792000.0,,,146,18,28,-1,16,-14,-193,11,33,,21,34,32,16,,33,14,12,-186,,16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060650_4..N06R::1404792000.0,45,-8,10,27,22,20,34,7,2,-1849,57,5,1,-241,20,34,-4,7,12,21,24,15,-6,-35,9,18,-4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
061350_4..N06R::1404792000.0,62,25,6,35,28,9,25,141,27,-289,45,-2,18,-256,30,17,13,10,4,1,18,6,60,5,22,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,
059000_4..N06R::1404792000.0,39,4,25,32,26,-9,,,,,26,10,22,-139,,20,-1,64,,16,-34,-1,26,11,13,22,-3,12,,,,,,,,,,,,,,,,,,,,,,,,,,
064350_4..N06R::1404792000.0,,,-37,7,24,14,32,1,10,-139,22,,-2,,21,25,,3,6,16,26,,34,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063150_4..N06R::1404792000.0,,-72,-22,16,37,25,15,40,34,-109,34,,12,-253,11,11,,-36,24,-2,31,-1,8,9,-15,10,38,33,,,,,,,,,,,,,,,,,,,,,,,,,,
064850_4..N06R::1404792000.0,,,,-75,14,17,16,28,16,41,39,,8,,-15,26,,,-7,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065250_4..N06R::1404792000.0,,,,,8,23,25,27,7,251,33,,8,,-16,25,,,-6,18,,,,,-188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062350_4..N06R::1404792000.0,47,14,11,12,4,-8,-18,25,1,-79,46,-9,15,-252,-4,2,5,4,6,-2,51,43,-23,15,16,13,-11,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
062650_4..N06R::1404792000.0,125,-55,22,25,11,19,-21,-13,-3,-19,50,-1,12,-250,4,20,0,4,10,-1,-74,9,7,-9,22,11,-4,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
065750_4..N06R::1404792000.0,,,,,40,-17,8,12,25,73,55,,-31,,26,27,,,-19,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063750_4..N06R::1404792000.0,,,19,21,21,31,30,31,-24,11,54,,22,-256,44,39,,3,24,19,46,-56,26,,8,12,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,
063450_4..N43R::1404792000.0,,,,,,,,,,3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063450_4..N::1404792000.0,,,,,,,,,,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066550_4..N06R::1404792000.0,,,,,10,-13,-16,5,10,11,-40,,5,,6,42,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064550_4..N::1404792000.0,,,,28,-13,-21,-9,26,10,-19,38,,22,,36,2,,-131,-1,19,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067350_4..N06R::1404792000.0,,,,,5,1,-1,26,19,-19,,,17,,29,-18,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068150_4..N06R::1404792000.0,,,,,,-230,18,29,15,-19,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066050_4..N06R::1404792000.0,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_4..N06R::1404792000.0,,,,,,,,-36,25,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069750_4..N06R::1404792000.0,,,,,,,,,-158,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070550_4..N06R::1404792000.0,,,,,,,,,,-409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_4..N06R::1404792000.0,,,,,,,,,,-889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072150_4..N06R::1404792000.0,,,,,,,,,,-1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072950_4..N06R::1404792000.0,,,,,,,,,,-1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
