,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
035350_4..S06R::1404792000.0,2,1,12,-37,27,10,16,-1,-11,13,-19,7,-4,18,12,3,12,11,177,6,22,3,,30,-7,,1,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
036150_4..S06R::1404792000.0,43,6,-19,2,14,17,23,6,-4,9,-79,18,-5,-2,135,-16,9,-17,134,6,9,34,,1,17,-16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
036450_4..S06R::1404792000.0,-4,21,8,10,26,-15,4,-8,-12,-11,-19,10,-3,2,71,4,-1,6,4,14,31,23,17,20,30,3,-12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
037050_4..S06R::1404792000.0,26,6,57,12,39,3,32,8,3,-1,-19,18,9,2,52,16,-4,-4,6,17,1,7,8,32,30,11,25,16,,,,,,,,,,,,,,,,,,,,,,,,,,
037650_4..S06R::1404792000.0,16,4,24,8,44,8,38,-23,4,0,101,30,-3,-13,-14,7,19,4,6,13,33,28,4,51,25,14,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,
038250_4..S06R::1404792000.0,8,-27,-6,-14,29,15,54,0,11,7,-79,6,17,-2,47,-3,14,14,-6,-6,2,28,0,24,9,-13,-36,3,,,,,,,,,,,,,,,,,,,,,,,,,,
038850_4..S06R::1404792000.0,11,7,8,-2,36,5,38,14,5,7,-19,-1,15,32,88,-10,-7,-4,13,7,9,28,14,-2,21,2,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,
039450_4..S34R::1404792000.0,22,11,28,12,19,5,174,16,9,4,-49,16,-70,10,6,-3,,0,-2,0,5,26,9,23,18,-3,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,
039900_4..S34R::1404792000.0,3,-3,18,27,8,28,47,1,-13,-16,71,-8,5,19,85,6,,4,3,20,20,13,-13,41,22,5,-12,-17,,,,,,,,,,,,,,,,,,,,,,,,,,
040450_4..S34R::1404792000.0,34,-39,16,9,42,-2,29,21,12,-4,11,19,-4,9,72,-3,,8,19,4,41,39,-3,36,11,7,22,131,,,,,,,,,,,,,,,,,,,,,,,,,,
041050_4..S34R::1404792000.0,35,-2,36,15,36,4,9,24,4,15,-19,25,4,10,162,-11,,-4,13,18,46,40,-11,25,32,5,16,34,,,,,,,,,,,,,,,,,,,,,,,,,,
042050_4..S34R::1404792000.0,2,8,24,11,14,4,31,-18,-66,10,-139,5,-5,23,154,5,,18,0,17,3,17,-4,-12,0,7,-11,6,,,,,,,,,,,,,,,,,,,,,,,,,,
042200_4..S39R::1404792000.0,21,-48,56,10,23,18,42,8,12,,,10,,4,-11,-4,,12,16,16,34,20,-8,46,20,-30,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,
042550_4..S34R::1404792000.0,25,-5,13,22,47,7,34,1,-18,-18,-49,-27,-5,21,227,5,,18,0,25,30,17,-15,14,31,5,-67,395,,,,,,,,,,,,,,,,,,,,,,,,,,
043000_4..S34R::1404792000.0,9,11,17,31,51,-8,42,6,-5,-11,-19,23,11,458,11,5,,-13,-4,33,48,35,1,10,9,11,17,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
043600_4..S36R::1404792000.0,,,,79,27,28,39,8,2,,,20,131,,16,8,,0,6,171,42,-1,16,,,-5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
043650_4..S34R::1404792000.0,60,-42,-8,97,53,30,34,39,-10,18,11,27,-2,25,9,3,,14,19,41,69,42,-8,-1,26,4,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,
044100_4..S34R::1404792000.0,28,15,17,54,30,9,15,0,0,-10,11,15,22,10,48,15,,-6,-1,33,46,38,6,20,26,17,-2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
044500_4..S34R::1404792000.0,37,7,16,39,28,28,36,-13,-4,-6,-19,31,8,18,107,7,,-7,20,32,-27,45,-6,29,30,8,-11,16,,,,,,,,,,,,,,,,,,,,,,,,,,
045300_4..S36R::1404792000.0,12,-58,179,21,39,21,27,-8,15,,,-13,-19,21,74,-1,,10,6,37,45,31,-88,30,6,13,-8,13,,,,,,,,,,,,,,,,,,,,,,,,,,
045300_4..S34R::1404792000.0,10,-26,-25,22,50,31,19,8,14,-12,-49,18,-3,2,149,,,7,12,20,104,39,13,12,32,-1,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,
045700_4..S34R::1404792000.0,29,9,-20,43,72,10,30,14,-2,-11,-49,37,-7,7,143,3,,-33,19,48,69,36,-6,18,24,7,17,27,,,,,,,,,,,,,,,,,,,,,,,,,,
046550_4..S36R::1404792000.0,26,-4,87,34,49,21,-16,4,-14,,,30,-79,15,178,4,,8,-7,18,23,5,3,48,12,-12,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
046550_4..S34R::1404792000.0,19,-5,13,39,56,24,40,-11,4,15,-19,17,-7,3,1,13,,3,2,44,68,40,2,2,26,18,-2,27,,,,,,,,,,,,,,,,,,,,,,,,,,
046950_4..S34R::1404792000.0,,,,,,,431,5,-1,-9,-79,,9,,25,-15,,-12,12,,,,-12,,,5,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
047350_4..S34R::1404792000.0,-6,710,-46,45,52,31,46,21,-6,-7,11,40,-3,-3,46,5,,16,-44,-7,82,52,22,-18,26,1,35,26,,,,,,,,,,,,,,,,,,,,,,,,,,
047750_4..S34R::1404792000.0,21,1159,19,-1,49,40,67,21,-86,16,11,0,-1,25,139,-14,,-7,12,44,84,28,-93,26,-15,9,-10,18,,,,,,,,,,,,,,,,,,,,,,,,,,
048350_4..S34R::1404792000.0,29,2,20,-26,18,35,36,6,8,17,-19,26,13,34,103,-11,,-2,17,23,55,28,17,14,6,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
048750_4..S34R::1404792000.0,21,270,324,27,42,18,33,20,7,2,11,39,14,36,32,14,,14,-2,32,52,40,25,10,10,-3,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,
048800_4..S39R::1404792000.0,12,11,11,2,55,38,26,5,-3,,,56,,18,10,4,,0,0,13,47,-5,8,32,22,-5,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,
049700_4..S34R::1404792000.0,14,25,13,26,30,47,54,14,-6,13,131,34,-1,0,32,5,,20,25,22,112,14,-11,203,-12,0,11,78,,,,,,,,,,,,,,,,,,,,,,,,,,
050200_4..S34R::1404792000.0,52,6,26,28,33,30,28,9,-37,17,71,32,21,-22,29,9,,-4,2,30,76,39,4,90,28,76,8,117,,,,,,,,,,,,,,,,,,,,,,,,,,
050750_4..S34R::1404792000.0,3,-195,33,25,30,29,133,-7,-20,-26,71,63,-8,67,9,-9,,2,-12,174,41,78,-3,66,-6,13,-8,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
051250_4..S34R::1404792000.0,102,9,43,21,30,37,16,21,5,-5,11,86,1,-85,27,12,,8,23,-18,50,39,22,-104,118,2,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,
051600_4..S06R::1404792000.0,80,-5,-65,-62,32,18,2,-2,-11,-8,11,87,6,-182,23,5,105,11,0,127,43,26,-2,48,113,-14,-2,47,,,,,,,,,,,,,,,,,,,,,,,,,,
052200_4..S06R::1404792000.0,-80,3,15,66,33,30,179,-31,8,-12,-79,32,3,1,-4,-8,31,-2,-13,78,71,27,-1,19,-31,-14,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
052850_4..S06R::1404792000.0,10,5,34,34,95,54,44,1,18,26,11,48,4,45,44,-7,25,18,16,,89,37,20,-106,25,-8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
053450_4..S06R::1404792000.0,7,7,4,-162,141,26,-3,-10,20,-3,-19,44,-74,-143,12,,8,8,2,40,21,35,13,,21,-35,16,106,,,,,,,,,,,,,,,,,,,,,,,,,,
054050_4..S06R::1404792000.0,-72,15,14,12,-6,28,35,-6,2,-87,-19,62,12,18,13,-13,7,-2,-7,16,86,21,0,71,18,-12,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,
054650_4..S06R::1404792000.0,12,11,11,-33,50,-11,38,15,17,8,41,72,-3,26,27,-5,8,14,19,,118,23,21,25,,0,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,
055450_4..S06R::1404792000.0,4,7,-13,-210,18,79,11,-1,-3,-8,-19,100,10,-104,22,-15,-12,-9,-17,31,-25,11,-9,14,48,6,-4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
056150_4..S06R::1404792000.0,7,6,21,28,-214,26,86,-25,8,2,41,9,-10,4,-74,-8,83,3,14,215,47,72,-11,20,44,4,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,
056500_4..S06R::1404792000.0,12,7,-1,53,38,4,87,-62,1,20,11,12,2,16,54,-13,83,22,10,74,-22,-5,-8,47,34,5,11,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
057200_4..S06R::1404792000.0,21,4,18,43,40,-103,26,61,-22,-5,-79,18,-1,21,15,-22,5,38,6,39,22,18,70,-4,9,81,59,30,,,,,,,,,,,,,,,,,,,,,,,,,,
058000_4..S06R::1404792000.0,4,4,-3,19,34,43,8,-1,5,23,-49,10,53,1,14,48,-82,76,14,20,24,,,7,32,,-5,20,,,,,,,,,,,,,,,,,,,,,,,,,,
058800_4..S06R::1404792000.0,28,13,17,25,31,24,23,,17,-108,41,8,,29,32,0,0,8,-15,30,64,-145,14,15,6,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
059600_4..S06R::1404792000.0,18,12,24,38,12,13,6,-57,,-7,-49,11,-56,-6,17,,2,-20,,-22,26,-2,-12,38,14,7,-11,19,,,,,,,,,,,,,,,,,,,,,,,,,,
060400_4..S06R::1404792000.0,21,0,9,8,45,6,49,8,52,-11,-229,-23,-7,6,24,,-12,-58,-11,12,58,42,24,26,20,14,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,
061000_4..S06R::1404792000.0,,,,,,,,,,,-1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061200_4..S06R::1404792000.0,-2,10,3,29,19,10,17,7,5,-99,11,-4,9,-4,0,-10,-3,-5,14,-2,31,25,-5,17,17,13,-4,7,,,,,,,,,,,,,,,,,,,,,,,,,,
062000_4..S06R::1404792000.0,-13,1,-3,22,29,23,-28,-24,16,-1,-19,7,-14,21,0,-2,-5,7,-7,-25,59,14,-3,31,17,15,-2,36,,,,,,,,,,,,,,,,,,,,,,,,,,
062800_4..S06R::1404792000.0,4,-2,24,13,34,22,20,20,-34,-6,11,8,9,21,1,13,10,-6,5,-14,78,27,-13,27,-1,6,-14,15,,,,,,,,,,,,,,,,,,,,,,,,,,
065200_4..S06X003::1404792000.0,,,,-61,22,11,30,,3,1,41,17,25,,,-11,21,-1,139,,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066000_4..S06X003::1404792000.0,,,,,-120,20,8,,-2,2,11,6,13,,,12,-83,-6,31,,68,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063600_4..S06R::1404792000.0,32,,,9,-3,-12,34,1,11,9,-19,-26,6,7,41,-7,26,6,9,6,45,8,14,16,6,-2,3,-56,,,,,,,,,,,,,,,,,,,,,,,,,,
066800_4..S06X003::1404792000.0,,,,,,-1,-8,,9,-10,11,-173,-31,,,-38,13,3,23,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064400_4..S06X003::1404792000.0,,,,34,17,-2,22,,14,6,11,7,12,,,-5,12,13,109,15,40,2,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067600_4..S06X003::1404792000.0,,,,,,,-14,,3,20,11,,29,,,7,,5,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068400_4..S06X003::1404792000.0,,,,,,,-584,,0,-11,-19,,6,,,40,,-5,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069200_4..S06X003::1404792000.0,,,,,,,,,-3,2,-49,,-2,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070000_4..S06X003::1404792000.0,,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070800_4..S06X003::1404792000.0,,,,,,,,,,,-559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071600_4..S06X003::1404792000.0,,,,,,,,,,,-1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072400_4..S06X003::1404792000.0,,,,,,,,,,,-1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073200_4..S06X003::1404792000.0,,,,,,,,,,,-1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
