,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
085750_2..N01R::1404705600.0,-60,7,-1,61,-8,-8,22,-1,118,35,11,2,36,71,7,-2,23,-31,1,43,13,9,4,2,-3,-1,7,67,33,14,27,22,23,13,11,8,-12,16,1,19,-29,-6,8,-10,7,12,5,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086550_2..N01R::1404705600.0,0,10,17,34,-8,31,12,22,10,18,26,5,46,71,0,3,16,26,-24,33,-5,13,-11,0,-30,26,88,62,9,-4,11,18,-62,9,24,8,27,-1,21,20,13,21,-8,-2,23,13,18,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087350_2..N01R::1404705600.0,26,11,21,59,15,-27,15,19,6,12,22,30,25,-79,0,8,9,1,1,7,-4,9,1,6,4,10,-3,51,18,7,12,10,-19,-9,-20,12,-4,68,22,18,-10,-27,8,-28,24,30,-7,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088150_2..N01R::1404705600.0,-16,17,2,44,9,3,4,21,15,-9,26,17,49,-19,20,13,75,13,-1,16,12,20,-1,11,-1,17,24,44,26,8,-4,8,10,12,-3,19,-5,14,21,3,2,16,32,9,24,74,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088950_2..N01R::1404705600.0,32,7,11,30,-11,-4,29,45,18,25,31,10,38,71,5,33,77,16,-18,13,-33,30,20,-4,-2,18,18,72,1,0,16,35,19,11,7,4,9,1,13,26,24,14,5,3,42,9,52,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089750_2..N01R::1404705600.0,3,15,18,47,18,3,12,9,8,12,6,5,25,101,-8,-13,7,21,1,6,11,19,-5,-34,1,85,2,39,52,1,0,5,-10,-4,19,-51,12,5,17,25,-21,-5,11,9,22,3,15,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090400_2..N01R::1404705600.0,-64,2,12,28,4,2,9,2,13,11,0,4,8,71,3,-3,4,43,13,-3,0,22,18,-6,3,-44,14,44,4,-28,-101,63,4,24,1,3,-10,-69,13,-8,20,6,3,-8,11,-2,-15,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091350_2..N01R::1404705600.0,11,4,12,29,66,6,14,20,36,0,4,-3,23,-49,2,-13,17,15,11,1,-70,-22,8,15,-15,-3,-5,56,15,-7,7,-4,-1,4,-13,-3,37,63,-20,20,-7,13,5,8,81,10,6,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092150_2..N01R::1404705600.0,16,-34,2,40,20,17,11,4,20,19,19,-6,12,-19,2,-4,5,16,10,37,-1,-17,11,16,-20,113,1,47,31,-12,14,17,30,-9,28,-10,1,20,17,-18,13,-5,18,-14,21,6,15,32,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092700_2..N01R::1404705600.0,23,2,-26,12,5,-2,19,18,-18,27,28,3,-49,41,20,21,3,8,3,28,3,30,27,19,-2,61,27,63,7,-11,19,-4,9,14,27,-2,2,-7,43,-8,-2,9,30,-6,58,10,4,7,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
093300_2..N01R::1404705600.0,-88,-31,-15,30,-9,12,7,6,15,22,33,9,-8,11,14,6,-5,47,-3,2,-1,1,36,11,-13,17,6,58,8,55,-13,2,-8,7,17,-29,10,-50,-21,-2,-1,-1,2,-1,51,6,7,23,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094150_2..N01R::1404705600.0,-82,12,4,41,-9,18,18,23,18,51,9,16,29,-79,9,-3,0,-11,3,2,-67,-31,-22,-3,22,125,10,46,15,-36,12,5,-5,4,35,8,-21,-10,27,6,-8,9,0,-4,36,24,1,24,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094750_2..N01R::1404705600.0,-45,-7,19,-31,-1,-1,15,18,26,3,14,-6,-52,11,11,18,15,26,18,13,1,20,19,8,-29,19,18,52,36,17,14,38,0,-13,28,18,-8,14,25,100,-7,0,7,17,38,19,-5,6,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095750_2..N01R::1404705600.0,-61,8,28,117,-13,8,17,19,36,18,39,-20,4,71,8,-5,-1,-3,11,-5,-18,-7,5,-8,-16,-2,-1,48,21,13,0,50,-25,4,13,2,7,14,19,1,10,13,-2,-10,75,4,6,-2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096350_2..N01R::1404705600.0,38,129,-14,35,-12,9,18,3,4,6,0,10,47,11,1,-11,-26,-22,-7,14,-7,-84,-1,31,16,-6,4,63,28,-14,-16,26,6,4,1,9,7,53,20,33,-2,9,26,-15,65,23,11,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096600_2..N03R::1404705600.0,4,16,0,26,8,2,28,36,49,18,7,0,-60,,18,,23,21,2,1,-2,36,,5,1,,10,53,49,,9,73,22,9,16,14,16,,3,-9,0,-6,30,,13,3,2,21,10,,,,,,,,,,,,,,,,,,,,,,,101,11,-22,-23,-8,4,-33,11,25,77
097500_2..N01R::1404705600.0,12,20,-3,-64,17,6,18,17,-5,12,19,-2,25,-49,0,11,17,52,7,3,3,4,3,16,7,95,11,73,18,7,19,6,-11,16,24,22,17,7,25,-13,-6,-4,8,8,43,28,-1,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098600_2..N01R::1404705600.0,38,18,36,44,16,8,20,44,218,55,29,2,49,-49,-2,-8,41,213,2,32,7,5,4,14,3,-3,35,55,72,16,17,61,0,9,30,17,27,80,,17,10,0,25,25,43,55,9,49,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099300_2..N01R::1404705600.0,30,-5,7,45,18,-3,6,31,36,208,40,2,42,-79,-12,9,25,80,1,24,11,-56,-38,12,-1,3,172,51,50,7,-3,49,18,12,27,-9,26,103,26,16,4,13,22,9,41,40,7,4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
099350_2..N03R::1404705600.0,19,5,-2,42,3,12,13,6,34,64,-2,-22,38,,8,,23,48,-40,31,17,31,,7,3,,24,70,13,,0,46,-7,15,30,12,14,,20,39,4,-10,2,,54,41,4,37,26,,,,,,,,,,,,,,,,,,,,,,,101,-1,-8,13,17,18,-1,24,11,25
100350_2..N01R::1404705600.0,44,4,-4,52,1,11,41,16,76,30,31,10,2,-49,7,15,-1,32,-5,12,-4,55,-13,-8,12,48,3,36,136,-2,11,164,-3,0,10,3,15,94,9,7,17,63,20,13,58,31,-6,30,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100850_2..N03R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,,,,,,,,
100950_2..N01R::1404705600.0,-15,0,11,76,0,-6,27,55,27,65,63,-6,-67,-19,14,-17,26,45,11,18,13,61,29,-37,-4,91,1,70,52,9,4,72,11,10,43,1,18,27,8,9,10,3,26,13,21,60,16,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101900_2..N01R::1404705600.0,112,-61,2,37,-8,-10,2,22,95,91,19,-14,1,161,16,-11,19,25,1,-7,-10,20,12,16,-5,44,-20,55,-14,-6,4,75,17,4,31,21,16,4,6,11,-13,17,1,11,26,26,-7,-9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102500_2..N01R::1404705600.0,137,-7,0,45,1,-2,3,35,89,-22,12,7,27,41,-9,2,1,63,27,13,-4,77,36,-10,1,9,43,56,28,-8,-18,39,10,-17,5,0,2,-5,12,-20,-8,11,10,-1,50,62,-1,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103100_2..N01R::1404705600.0,228,10,12,43,9,18,14,24,41,49,-14,4,14,101,-34,9,8,45,16,-2,13,-64,4,-6,-12,11,26,33,32,8,0,82,9,-1,22,4,-7,11,19,17,11,13,20,2,56,-38,13,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103200_2..N03R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,,,,,,,,
104200_2..N01R::1404705600.0,,,,,,,,,,,,,,-469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104650_2..N01R::1404705600.0,7,13,14,80,-7,0,28,-6,6,-3,257,-7,-54,131,14,3,3,2,15,4,-21,178,-4,-78,-1,77,19,23,31,10,-3,23,-76,-12,34,-54,-5,-12,-11,-9,-25,17,-51,-2,16,16,-16,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105550_2..N01R::1404705600.0,6,14,5,74,12,-34,34,44,24,10,8,14,15,161,-2,7,13,68,14,8,-3,23,6,9,-30,10,15,65,22,7,9,62,7,12,31,-15,14,-34,15,-6,8,10,0,5,58,38,-17,9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106050_2..N01R::1404705600.0,,,,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106650_2..N01R::1404705600.0,23,-9,3,23,6,11,19,28,32,6,1,2,40,41,-10,8,-18,29,-10,2,7,4,-8,11,-10,50,4,58,19,6,-4,48,-12,9,23,-8,19,-12,-5,-10,7,-4,8,0,91,32,-15,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107250_2..N01R::1404705600.0,15,-13,6,5,-23,-11,16,-16,36,26,17,9,11,131,-7,-10,17,45,25,5,-10,-68,26,1,10,143,6,54,10,-6,11,35,18,-37,39,12,-25,-7,10,-1,-7,44,21,22,58,15,3,34,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104050_2..N03R::1404705600.0,48,-32,19,79,18,33,-5,12,,,,,,,18,,27,,,8,12,40,,-3,20,,,65,,,5,251,,13,60,1,,,25,,1,,-9,,42,,-2,62,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107900_2..N01R::1404705600.0,41,14,0,10,-2,9,6,25,-12,19,28,16,15,251,14,-9,32,-1,8,21,13,30,6,-5,7,14,5,46,54,13,3,47,1,-42,21,8,7,9,8,5,-14,21,5,14,71,4,-3,24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108600_2..N01R::1404705600.0,23,2,-6,35,-10,-9,11,13,17,-5,18,-6,9,101,2,-9,13,61,-4,13,-14,-65,6,17,-6,0,-1,72,25,11,4,65,7,17,17,-3,9,15,-1,11,15,18,0,-10,10,18,-11,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109250_2..N01R::1404705600.0,281,9,11,20,12,-9,-17,37,-2,6,7,5,-24,11,-4,-8,14,11,10,6,-6,-52,2,7,-7,-4,17,79,10,13,10,39,-4,11,17,-21,22,17,22,-7,14,3,1,14,100,34,18,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110150_2..N01R::1404705600.0,30,8,8,-2,6,9,23,48,13,26,24,-1,33,11,13,9,33,9,24,26,15,-57,-7,-11,9,13,79,53,31,-1,1,49,-6,15,20,3,20,3,0,-12,6,-2,6,11,55,33,7,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108000_2..N03R::1404705600.0,24,4,,11,,,,,,,,,,,,,,,,,501,,,10,,,,34,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110850_2..N01R::1404705600.0,31,-11,-5,110,11,14,12,10,22,9,-1,3,-48,41,-32,9,30,32,-19,23,1,21,-9,10,15,18,12,54,20,1,16,15,1,1,3,17,15,2,40,20,-7,-25,-43,5,58,28,-4,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108050_2..N03R::1404705600.0,46,-6,-9,100,8,-3,3,23,5,0,9,5,7,,-2,,29,32,13,-3,15,19,,-20,5,,18,77,20,,2,61,-4,6,12,-8,-12,,6,-6,-17,-4,-9,,26,13,-10,1,20,,,,,,,,,,,,,,,,,,,,,,,11,20,4,-1,10,-10,10,183,17,29
111800_2..N01R::1404705600.0,41,8,1,126,-4,0,19,6,8,-3,-2,0,-71,101,13,-1,3,25,5,3,-11,18,12,-10,-27,37,12,66,21,1,9,-26,7,17,10,3,-8,10,-11,18,-8,17,9,-10,19,9,2,-23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112450_2..N01R::1404705600.0,53,6,9,19,-2,16,31,20,38,14,-13,-3,36,101,6,6,2,14,1,19,-4,29,20,-2,17,51,2,73,8,16,8,34,14,-1,25,6,6,-75,10,6,13,0,19,7,59,5,11,32,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109650_2..N03R::1404705600.0,1,-33,13,162,12,19,-6,4,19,23,-4,-4,-19,,-37,,19,18,15,19,0,19,,14,20,,24,44,7,,-13,25,-2,-13,12,-4,23,,0,-15,3,13,2,,35,13,11,14,18,,,,,,,,,,,,,,,,,,,,,,,131,5,-9,6,-10,1,-8,5,-3,138
113200_2..N01R::1404705600.0,226,17,7,41,-7,2,-1,26,23,12,31,3,27,41,-25,10,29,15,-27,18,15,12,-8,10,4,45,-3,74,1,-4,13,15,18,-24,24,-9,17,-119,8,21,16,12,13,8,29,21,-10,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114050_2..N01R::1404705600.0,38,22,26,34,17,28,4,3,8,19,41,-7,34,-49,43,-35,32,22,4,26,-1,804,16,6,29,4,10,56,23,-4,21,9,20,14,15,30,18,89,9,6,1,28,18,-1,28,1,16,58,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114950_2..N01R::1404705600.0,26,-29,4,38,-8,2,4,38,14,1,25,-11,5,-49,11,8,24,7,17,12,6,9,-1,19,-4,52,17,70,9,-7,-15,16,3,7,21,7,-6,53,1,32,-2,-5,19,4,31,9,14,12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115850_2..N01R::1404705600.0,17,-38,11,35,18,-5,30,64,18,11,23,-3,43,41,20,-7,36,8,18,25,-2,-60,-9,19,-6,6,24,48,26,-11,12,27,21,3,23,-8,-36,20,8,14,-14,10,17,18,276,26,-11,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116450_2..N01R::1404705600.0,13,-7,-1,46,5,17,13,18,-20,-13,139,-26,-23,71,22,-8,5,6,7,4,5,-2,-9,-22,-7,1,17,66,9,-2,22,212,23,8,13,18,1,-22,24,-12,-12,1,-9,11,19,-6,-2,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117450_2..N01R::1404705600.0,27,-3,3,22,9,-11,34,26,-2,19,86,-10,20,11,-3,5,28,20,-10,7,-17,53,7,12,-6,-14,2,31,-16,-9,0,21,-7,13,13,-10,12,-37,7,11,-14,6,8,7,44,-1,-5,7,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118250_2..N01R::1404705600.0,24,9,19,49,8,-27,8,29,3,4,27,-33,84,221,16,7,16,10,4,24,-2,120,-9,2,-28,41,4,13,7,-4,13,28,1,13,34,10,8,-2,23,10,18,7,4,5,34,19,22,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119100_2..N01R::1404705600.0,27,18,15,63,10,14,25,27,-4,41,28,7,-8,101,27,-3,30,32,-4,9,24,11,20,22,-27,54,32,51,15,21,0,-7,7,1,-2,26,23,-11,-4,-9,-27,12,9,-4,31,33,-2,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119900_2..N01R::1404705600.0,15,44,26,36,30,-8,46,8,26,-7,-5,11,9,161,0,1,3,6,5,18,-4,-28,-5,-7,-1,11,-8,66,12,3,-36,-3,12,18,87,8,5,14,25,8,30,-5,3,-10,26,38,11,6,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120550_2..N01R::1404705600.0,53,-7,20,77,-5,15,2,12,11,2,20,-1,63,11,7,-8,5,0,10,7,-21,14,-14,-5,15,-5,103,52,26,7,21,5,20,-8,10,0,23,28,13,16,-34,-4,14,-13,49,28,-5,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121350_2..N01R::1404705600.0,237,15,-6,25,10,23,13,-11,14,-3,-3,-14,35,131,20,11,2,10,-19,-5,1,1,-9,-11,14,-8,-3,52,12,4,-8,72,-6,6,-2,7,7,-15,-10,-18,7,6,24,-2,-4,-1,-10,-16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_2..N01R::1404705600.0,170,-3,-56,34,-6,19,13,25,-114,-4,106,2,-2,-79,10,-5,21,12,13,3,-13,-40,6,16,-62,8,-7,62,-15,-15,5,4,6,-6,6,-30,4,112,28,-5,16,-7,11,-15,80,4,-13,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123400_2..N01R::1404705600.0,18,1,23,12,-3,18,-2,-24,5,9,-2,0,33,11,11,11,18,-7,10,8,-36,13,1,-3,16,18,16,51,19,4,11,29,-6,1,26,2,10,4,13,18,18,-2,22,6,49,17,-9,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124450_2..N01R::1404705600.0,12,-13,14,61,13,7,0,24,36,35,25,17,42,-79,21,17,15,4,-1,20,-13,11,14,6,-21,83,9,58,-3,-8,5,27,-6,17,34,17,6,111,1,-6,16,23,-7,13,6,14,18,13,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125700_2..N01R::1404705600.0,,,,,,,,,,,,,,-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126500_2..N01R::1404705600.0,,,,,,,,,,,,,,-649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127500_2..N01R::1404705600.0,-15,30,18,119,-9,20,34,18,-3,10,16,2,28,131,3,-9,31,3,20,-29,-1,34,-13,-18,-9,19,18,62,24,0,48,20,-3,8,8,-32,11,9,28,14,-25,-8,15,14,46,28,-17,48,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128500_2..N01R::1404705600.0,,,,,,,,,,,,,,401,,,,,,,,,-5,,,,,,,3,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125950_2..N01R::1404705600.0,20,11,9,79,9,18,-7,2,19,16,7,13,20,-19,18,0,20,22,-5,-2,-5,10,-82,-19,5,6,1,62,-2,-5,7,11,8,6,17,14,13,-2,-37,2,11,9,-1,2,31,-2,14,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129500_2..N01R::1404705600.0,69,7,5,27,8,3,-9,-3,-13,15,29,9,26,41,-7,-15,12,32,-9,2,2,15,-11,-7,8,-9,-2,74,7,-4,-10,-6,-5,-4,13,4,10,2,-45,1,0,5,20,10,12,0,7,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130500_2..N01R::1404705600.0,32,9,-5,16,-9,13,-13,0,20,21,23,13,-12,131,10,-5,-1,-6,7,-2,-5,6,-8,-1,-7,7,13,54,-1,-1,7,-7,-11,7,5,5,14,4,-16,5,-11,3,6,-16,16,-3,-2,-2,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131550_2..N01R::1404705600.0,34,21,-11,27,17,8,19,37,8,6,28,18,14,41,22,18,22,2,12,17,19,28,-15,23,0,13,13,78,23,-10,-3,23,2,10,31,26,8,17,-2,2,-4,29,24,20,40,19,-3,28,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132550_2..N01R::1404705600.0,-72,-24,22,35,7,-24,-6,32,26,-1,16,3,18,-19,20,-14,27,24,49,18,5,11,-11,4,11,16,19,49,17,1,-8,38,14,-4,24,-22,12,4,4,17,1,13,-47,8,24,18,4,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129000_2..N01R::1404705600.0,15,19,23,55,2,-27,-38,0,6,-3,24,1,24,,38,2,12,7,8,12,-3,18,,10,9,13,-8,44,10,,16,4,6,-5,-24,19,4,131,5,23,-8,-9,10,-55,25,-3,-4,-8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133550_2..N01R::1404705600.0,-232,-1,10,2,-8,-94,2,-2,-1,12,10,-6,29,71,-14,-6,6,12,-2,-1,-8,-2,5,24,1,7,14,26,-5,-13,-15,13,-2,-6,12,-5,2,0,-38,-13,2,-19,-4,-19,133,14,-16,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134500_2..N01R::1404705600.0,,,,557,-35,8,3,28,16,-7,15,-3,23,-19,21,11,26,2,20,-20,-30,11,-4,,1,7,14,,6,1,,-33,12,8,17,,-10,5,8,8,,5,14,9,22,3,,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135500_2..N01R::1404705600.0,,,,-52,1,-36,1,29,-125,8,-3,7,28,251,4,3,24,21,3,274,,-16,-4,,-34,3,12,,19,1,,5,-8,,26,,17,1,4,-7,,3,20,0,19,21,,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136650_2..N01R::1404705600.0,,,,,2,7,5,10,-5,11,-27,10,23,-19,-21,-6,19,13,15,,,13,-10,,,-3,21,,26,31,,15,13,,50,,-37,13,6,-3,,16,17,-12,9,-54,,-31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137850_2..N01R::1404705600.0,,,,,,-64,-5,-11,5,2,-3,-75,9,-19,,-7,-18,16,12,,,-87,-1,,,-6,17,,11,3,,38,-28,,17,,-6,9,-43,17,,7,,15,17,-18,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139050_2..N01R::1404705600.0,,,,,,,,23,-188,-35,-5,-7,29,-19,,-13,-218,5,12,,,,-75,,,14,14,,10,5,,-34,4,,,,-19,8,,10,,17,,10,19,10,,,-190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140250_2..N01R::1404705600.0,,,,,,,,,-27,-12,16,1,14,11,,3,,,-43,,,,-5,,,12,-57,,14,6,,,-18,,,,,12,,-17,,7,,-8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141400_2..N01R::1404705600.0,,,,,,,,,,,20,,,11,,3,,,10,,,,16,,,135,-64,,,-32,,,6,,,,,-6,,25,,1,,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142600_2..N01R::1404705600.0,,,,,,,,,,,,,4,-49,,,,,,,,,,,,120,,,,-33,,,,,,,,4,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144200_2..N01R::1404705600.0,,,,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145100_2..N08R::1404705600.0,,,,,,,,,,,,,,-679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147100_2..N08R::1404705600.0,,,,,,,,,,,,,,-1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144200_2..N01R::1404792000.0,-365,14,12,38,-25,13,17,16,13,20,13,-9,24,251,-27,-8,8,,13,20,11,24,15,-9,-1,24,17,48,24,17,14,-24,12,1,23,22,16,15,-9,5,15,20,-21,-10,34,-4,17,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145100_2..N08R::1404792000.0,-324,-20,32,2,20,6,27,14,11,0,-53,3,31,41,2,18,0,15,0,29,22,18,14,6,-21,19,6,60,-40,25,2,22,-6,-11,18,-18,-77,5,9,-9,4,-1,-9,11,138,-26,6,-3,16,,,,,,,,,,,18,10,-10,-2,0,4,5,24,20,10,26,14,,,,,,,,,,
147100_2..N08R::1404792000.0,-366,-6,5,127,10,5,8,23,1,-6,137,7,15,-19,-3,,16,15,-1,12,-13,1,-7,6,4,-2,15,51,-66,-21,2,37,10,-6,-8,-13,-3,-9,5,13,-14,0,16,4,125,-6,-3,7,12,,,,,,,,,,,-16,-16,-3,-17,-15,-1,10,32,-7,-28,15,-14,,,,,,,,,,
134500_2..N01R::1404792000.0,-334,17,7,,,,,,,,,,,,,,,,,,-1,,,-3,,,,59,,,4,,,,,28,,,,,4,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135500_2..N01R::1404792000.0,-333,16,16,52,,,,,,,,,,,,,,,,,21,,,14,,,,60,,,-4,,,,,18,,,,,-2,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136650_2..N01R::1404792000.0,-339,-4,8,176,,,,,,,,,,,,,,,,15,17,,,14,,,,57,,,1,,,,,-8,,,,,10,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137850_2..N01R::1404792000.0,-340,-13,8,50,-9,,,,,,,,,,7,,,,,-8,3,,,-3,-4,,,50,,,-8,,,13,,10,,,,,1,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139050_2..N01R::1404792000.0,-330,1,-7,62,14,-1,15,,,,,,,,20,,6,,,11,9,24,,1,1,,,44,,,11,,,15,12,6,,,21,,,,2,,,,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140250_2..N01R::1404792000.0,-326,11,24,95,-9,15,-2,27,,,,,,,0,,21,,,,3,39,,4,-9,,,40,,,6,26,,5,31,10,,,0,,9,,21,,22,,4,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141400_2..N01R::1404792000.0,-336,12,22,74,-9,13,6,90,21,21,,,,,-1,,33,-7,,1,7,23,,4,9,,20,19,-10,,19,20,,-12,13,-18,-5,,-24,,-5,,9,,61,14,-2,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142600_2..N01R::1404792000.0,-343,-15,-32,22,-8,13,11,12,-3,2,28,-10,,,6,,55,6,9,12,6,-1,,-20,12,,16,45,4,,18,29,4,-5,26,16,-7,,23,12,-5,12,13,,22,33,1,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149100_2..N08R::1404792000.0,-345,-10,15,186,-7,-4,-26,26,-34,12,109,-14,0,-19,10,10,18,20,17,22,10,22,11,3,1,-11,9,44,-19,-18,-7,6,3,14,26,15,-13,-9,2,6,4,19,7,1,52,25,14,-1,13,,,,,,,,,,,10,3,10,-12,10,11,,19,14,7,32,-5,,,,,,,,,,
151100_2..N08R::1404792000.0,-354,-28,-5,75,-3,-15,-8,7,23,-2,-68,-7,24,131,-15,-8,-3,9,31,2,0,7,6,-56,-8,32,39,49,-90,7,13,-7,-70,10,13,-1,3,-14,-10,11,-9,5,5,25,16,-27,-3,3,-7,,,,,,,,,,,-51,5,-8,-4,32,-10,4,46,15,-18,-6,-1,,,,,,,,,,
